Flood Forecast Log Sheet - 2020 (FFWC),,,,,,,,
Date,Observed Water Level Today,Forecast Water Level Next 5 days,"Danger Level
(mPWD)","FbF Danger Level
(mPWD)","Recorded Highest Water Level
(mPWD)",Station & River Name,Notification,Team
09/06/2020 18:00,,17.40,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
10/06/2020 06:00,,17.36,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
10/06/2020 09:00,,17.35,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
10/06/2020 12:00,,17.34,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
10/06/2020 15:00,,17.33,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
10/06/2020 18:00,,17.31,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
11/06/2020 06:00,,17.26,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
11/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
11/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
11/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
11/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
12/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
12/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
12/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
12/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
12/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
13/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
13/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
13/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
13/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
13/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
14/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
14/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
14/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
14/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
14/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
15/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
15/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
15/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
15/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
15/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
16/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
16/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
16/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
16/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
16/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
17/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
17/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
17/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
17/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
17/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
18/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
18/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
18/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
18/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
18/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
19/06/2020 06:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
19/06/2020 09:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
19/06/2020 12:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
19/06/2020 15:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
19/06/2020 18:00,,,19.50,20.35,21.16,"Bahadurabad, Jamuna",,
