,ADM,DIFF_ACT_G,DIFF_ACT_P,PEAK_ACT,PEAK_G,PEAK_P,RMSE_G,RMSE_P
0,Bogra,-3.0,-8.0,2020-07-27,2020-07-30,2020-08-04,0.022665092585419298,0.041734858174611006
1,Gaibandha,2.0,-3.0,2020-07-27,2020-07-25,2020-07-30,0.020156180095435062,0.0435073101183992
2,Jamalpur,3.0,-1.0,2020-07-27,2020-07-24,2020-07-28,0.043225454125693785,0.06617179363226469
3,Kurigram,2.0,1.0,2020-07-21,2020-07-19,2020-07-20,0.02528338036892336,0.04127053010858956
4,Sirajganj,-8.0,-9.0,2020-07-21,2020-07-29,2020-07-30,0.035643018550122765,0.040471421306887786
