date,dis24_Noonkhawa,dis24_Chilmari,dis24_Bahadurabad,dis24_Sariakandi,dis24_Kazipur,dis24_Serajganj,dis24_Aricha
2010-01-01,5987.8535,6390.60400390625,6614.50390625,6657.0234375,6673.10595703125,6685.61669921875,6771.6220703125
2010-01-02,6042.5366,6436.7177734375,6607.90625,6615.037109375,6619.6962890625,6623.52880859375,6688.14697265625
2010-01-03,6031.6914,6480.50341796875,6634.17578125,6613.859375,6608.986328125,6604.64453125,6633.77880859375
2010-01-04,5946.438,6477.599609375,6660.4091796875,6637.0087890625,6628.072265625,6619.54443359375,6620.1591796875
2010-01-05,5802.1807,6403.19580078125,6649.783203125,6651.015625,6646.02978515625,6639.3623046875,6631.99267578125
2010-01-06,5622.204,6262.57177734375,6580.31640625,6623.59814453125,6629.41552734375,6630.55712890625,6640.029296875
2010-01-07,5427.88,6080.0986328125,6451.57763671875,6539.0234375,6558.21435546875,6569.72900390625,6614.03173828125
2010-01-08,5235.95,5882.7900390625,6279.6103515625,6400.96728515625,6431.857421875,6453.15576171875,6536.41015625
2010-01-09,5056.755,5689.8154296875,6087.0166015625,6226.67919921875,6265.02685546875,6292.8232421875,6407.81787109375
2010-01-10,4892.457,5507.53955078125,5892.44091796875,6036.6796875,6078.00244140625,6108.75439453125,6241.9970703125
2010-01-11,4741.831,5335.25927734375,5705.40478515625,5846.494140625,5887.7294921875,5918.92138671875,6057.76513671875
2010-01-12,4603.5576,5173.20849609375,5528.4873046875,5663.8251953125,5703.6083984375,5733.92919921875,5870.92529296875
2010-01-13,4477.584,5023.70947265625,5361.80517578125,5490.734375,5528.6552734375,5557.53466796875,5689.73974609375
2010-01-14,4366.0967,4890.146484375,5206.26220703125,5327.36328125,5363.0146484375,5389.837890625,5516.11083984375
2010-01-15,4273.361,4774.80224609375,5065.0673828125,5175.79052734375,5208.6298828125,5233.45361328125,5351.7314453125
2010-01-16,4203.805,4677.46240234375,4940.9248046875,5038.947265625,5068.26953125,5090.4951171875,5199.404296875
2010-01-17,4159.343,4598.27001953125,4834.8818359375,4918.697265625,4943.90234375,4962.93701171875,5060.49169921875
2010-01-18,4138.2354,4539.2080078125,4747.87646484375,4816.19189453125,4836.869140625,4852.326171875,4936.56396484375
2010-01-19,4132.5396,4500.20947265625,4681.42919921875,4732.755859375,4748.48876953125,4760.17626953125,4829.62255859375
2010-01-20,4127.217,4475.751953125,4635.49658203125,4669.8896484375,4680.533203125,4688.5458984375,4741.8056640625
2010-01-21,4108.569,4455.13525390625,4604.666015625,4625.3876953125,4631.24658203125,4634.9658203125,4672.83837890625
2010-01-22,4071.479,4427.76904296875,4579.97900390625,4593.7197265625,4596.275390625,4596.951171875,4620.65185546875
2010-01-23,4017.994,4387.94970703125,4551.84326171875,4566.9375,4568.63623046875,4568.18310546875,4582.92626953125
2010-01-24,3950.742,4334.61962890625,4513.58447265625,4536.259765625,4539.36279296875,4539.7041015625,4552.9638671875
2010-01-25,3870.4294,4267.6650390625,4462.5087890625,4495.71484375,4501.54150390625,4503.693359375,4521.943359375
2010-01-26,3781.759,4188.423828125,4398.7275390625,4443.0693359375,4452.15673828125,4456.87548828125,4483.68359375
2010-01-27,3692.6057,4100.5361328125,4323.47509765625,4378.34130859375,4390.68505859375,4397.9365234375,4435.037109375
2010-01-28,3610.9417,4009.27685546875,4239.18994140625,4302.7001953125,4317.9580078125,4327.67041015625,4374.9775390625
2010-01-29,3542.5085,3921.386962890625,4150.21630859375,4218.86865234375,4236.181640625,4247.595703125,4303.91455078125
2010-01-30,3490.4705,3843.07666015625,4061.9033203125,4131.11669921875,4149.24072265625,4161.48291015625,4223.59423828125
2010-01-31,3454.62,3779.0810546875,3980.190185546875,4044.798095703125,4062.251708984375,4074.15771484375,4138.16552734375
2010-02-01,3432.8984,3731.860107421875,3910.34765625,3965.74169921875,3981.09033203125,3991.575927734375,4052.371826171875
2010-02-02,3419.3838,3700.369873046875,3853.734375,3893.28173828125,3904.206298828125,3911.66015625,3966.671630859375
2010-02-03,3407.589,3681.353515625,3810.62744140625,3835.313232421875,3840.85498046875,3844.405517578125,3885.38916015625
2010-02-04,3393.6743,3673.21044921875,3780.7119140625,3792.421630859375,3793.728271484375,3793.72412109375,3819.18505859375
2010-02-05,3376.564,3671.81982421875,3762.916015625,3762.90576171875,3760.41552734375,3757.320556640625,3768.855224609375
2010-02-06,3358.6238,3671.245849609375,3755.049072265625,3745.4794921875,3739.766845703125,3734.16796875,3733.287841796875
2010-02-07,3342.4143,3667.53076171875,3751.923828125,3736.907470703125,3728.739013671875,3720.66015625,3710.01416015625
2010-02-08,3328.0186,3659.9384765625,3749.4326171875,3732.482177734375,3723.147705078125,3713.860595703125,3695.53173828125
2010-02-09,3311.987,3647.394775390625,3745.671142578125,3729.408203125,3719.997314453125,3710.8505859375,3688.261962890625
2010-02-10,3288.6487,3626.72900390625,3738.75830078125,3725.513427734375,3716.71923828125,3707.87158203125,3685.351318359375
2010-02-11,3253.4673,3593.83251953125,3724.157958984375,3717.425537109375,3709.928466796875,3701.804931640625,3681.639404296875
2010-02-12,3209.377,3549.144287109375,3697.729736328125,3700.64990234375,3695.42333984375,3688.5791015625,3673.6611328125
2010-02-13,3163.673,3498.5419921875,3658.824951171875,3672.724609375,3670.626708984375,3666.119384765625,3658.530517578125
2010-02-14,3124.5952,3449.642578125,3610.999755859375,3633.95556640625,3634.96728515625,3633.124755859375,3634.55029296875
2010-02-15,3100.4495,3411.6748046875,3561.152099609375,3587.8466796875,3591.02197265625,3591.275146484375,3601.419189453125
2010-02-16,3098.3044,3393.533203125,3517.490234375,3539.999755859375,3543.185791015625,3543.7236328125,3560.0849609375
2010-02-17,3124.854,3399.420654296875,3489.275390625,3499.0234375,3499.75048828125,3499.102783203125,3514.577880859375
2010-02-18,3179.4902,3427.864013671875,3482.436767578125,3472.739501953125,3468.545654296875,3463.993896484375,3471.687744140625
2010-02-19,3254.6506,3475.35205078125,3499.12744140625,3466.386962890625,3455.520751953125,3445.533447265625,3437.43115234375
2010-02-20,3345.1355,3539.912841796875,3538.703857421875,3483.96435546875,3466.226318359375,3451.396240234375,3420.7197265625
2010-02-21,3451.8357,3620.144775390625,3597.658447265625,3523.656982421875,3499.612060546875,3479.39892578125,3427.4111328125
2010-02-22,3568.5957,3714.402099609375,3673.214599609375,3582.672607421875,3552.984619140625,3528.078125,3455.822021484375
2010-02-23,3674.8848,3816.008544921875,3762.593505859375,3658.5986328125,3624.185302734375,3595.1943359375,3504.55908203125
2010-02-24,3751.5564,3911.593505859375,3859.506591796875,3747.613525390625,3709.7158203125,3677.51025390625,3571.622802734375
2010-02-25,3794.4966,3988.97802734375,3954.907470703125,3844.681396484375,3806.028564453125,3773.7509765625,3655.929931640625
2010-02-26,3815.214,4047.761962890625,4037.317138671875,3938.1943359375,3901.6015625,3870.247802734375,3753.25341796875
2010-02-27,3839.087,4103.50537109375,4104.31787109375,4018.3662109375,3985.35400390625,3955.8798828125,3847.44189453125
2010-02-28,3897.0984,4171.43798828125,4165.31591796875,4086.3251953125,4056.384765625,4029.21337890625,3929.8251953125
2010-03-01,4007.1,4263.76904296875,4233.6982421875,4150.43603515625,4121.12841796875,4095.622314453125,4002.967041015625
2010-03-02,4169.0195,4397.45361328125,4322.755859375,4215.10888671875,4179.26953125,4150.00048828125,4055.75390625
2010-03-03,4380.393,4582.0498046875,4445.72119140625,4303.2646484375,4255.9150390625,4218.1982421875,4092.076171875
2010-03-04,4631.085,4831.68896484375,4621.9794921875,4433.7373046875,4374.81005859375,4327.236328125,4161.56640625
2010-03-05,4893.8086,5139.08349609375,4877.26123046875,4625.8515625,4549.48974609375,4489.5478515625,4279.2333984375
2010-03-06,5131.387,5460.86279296875,5217.1728515625,4897.32666015625,4799.861328125,4722.853515625,4452.279296875
2010-03-07,5313.8564,5759.5458984375,5593.52978515625,5245.87060546875,5132.50341796875,5041.681640625,4703.10302734375
2010-03-08,5422.723,5988.69580078125,5929.20849609375,5614.107421875,5502.4443359375,5409.40771484375,5032.54736328125
2010-03-09,5465.693,6116.71728515625,6168.591796875,5931.10302734375,5837.875,5757.10595703125,5398.24072265625
2010-03-10,5486.5054,6162.474609375,6296.4150390625,6147.9423828125,6081.853515625,6022.1845703125,5733.5458984375
2010-03-11,5540.012,6177.85791015625,6337.1015625,6258.76708984375,6217.41259765625,6178.46435546875,5978.63525390625
