,dis24
2008-01-01,4637.7935
2008-01-02,4553.3955
2008-01-03,4480.805
2008-01-04,4419.0107
2008-01-05,4363.5156
2008-01-06,4307.861
2008-01-07,4247.725
2008-01-08,4184.4365
2008-01-09,4124.14
2008-01-10,4072.7593
2008-01-11,4032.665
2008-01-12,4001.6455
2008-01-13,3975.4426
2008-01-14,3949.96
2008-01-15,3922.1028
2008-01-16,3891.7664
2008-01-17,3862.245
2008-01-18,3837.9736
2008-01-19,3821.7964
2008-01-20,3811.7188
2008-01-21,3805.251
2008-01-22,3803.5642
2008-01-23,3813.6326
2008-01-24,3842.4907
2008-01-25,3884.392
2008-01-26,3920.778
2008-01-27,3944.0017
2008-01-28,3957.1082
2008-01-29,3964.8865
2008-01-30,3974.0195
2008-01-31,3995.306
2008-02-01,4037.2905
2008-02-02,4108.645
2008-02-03,4228.6587
2008-02-04,4433.2686
2008-02-05,4764.564
2008-02-06,5223.2793
2008-02-07,5725.0747
2008-02-08,6144.0864
2008-02-09,6412.022
2008-02-10,6544.297
2008-02-11,6592.521
2008-02-12,6611.6055
2008-02-13,6631.23
2008-02-14,6641.6455
2008-02-15,6614.949
2008-02-16,6533.004
2008-02-17,6394.4653
2008-02-18,6209.2085
2008-02-19,5996.289
2008-02-20,5774.0493
2008-02-21,5552.9424
2008-02-22,5342.961
2008-02-23,5162.514
2008-02-24,5031.779
2008-02-25,4964.675
2008-02-26,4968.5664
2008-02-27,5038.6772
2008-02-28,5149.729
2008-02-29,5267.935
2008-03-01,5358.904
2008-03-02,5391.769
2008-03-03,5348.8833
2008-03-04,5238.377
2008-03-05,5086.8506
2008-03-06,4929.4253
2008-03-07,4802.797
2008-03-08,4737.7314
2008-03-09,4732.86
2008-03-10,4754.554
2008-03-11,4775.1616
2008-03-12,4795.1323
2008-03-13,4826.142
2008-03-14,4876.427
2008-03-15,4961.5415
2008-03-16,5099.4126
2008-03-17,5285.9907
2008-03-18,5491.5796
2008-03-19,5696.064
