date,dis24_Noonkhawa,dis24_Chilmari,dis24_Bahadurabad,dis24_Sariakandi,dis24_Kazipur,dis24_Serajganj,dis24_Aricha
2003-01-01,4328.387,4844.6142578125,5073.10302734375,5103.28173828125,5115.548828125,5125.06982421875,5198.6884765625
2003-01-02,4283.7866,4821.0927734375,5061.0146484375,5072.34375,5077.58642578125,5082.93115234375,5141.81201171875
2003-01-03,4240.8276,4771.48095703125,5047.87451171875,5056.0322265625,5057.8583984375,5059.2578125,5099.52294921875
2003-01-04,4204.8774,4711.02197265625,5016.32861328125,5035.7685546875,5038.89599609375,5039.78759765625,5070.2705078125
2003-01-05,4184.3564,4656.11279296875,4969.08642578125,5000.7177734375,5007.51416015625,5011.1396484375,5043.9482421875
2003-01-06,4182.974,4613.046875,4918.50048828125,4954.2314453125,4963.4599609375,4969.46044921875,5009.39453125
2003-01-07,4192.6143,4584.802734375,4872.5771484375,4905.6435546875,4914.89892578125,4921.2529296875,4964.5458984375
2003-01-08,4195.7305,4569.09228515625,4833.701171875,4861.22607421875,4869.1240234375,4874.61962890625,4915.30322265625
2003-01-09,4175.967,4555.7177734375,4801.697265625,4823.74853515625,4829.94384765625,4834.33349609375,4868.91162109375
2003-01-10,4126.6963,4530.52392578125,4771.44873046875,4791.69921875,4796.7099609375,4799.8896484375,4828.36962890625
2003-01-11,4051.4453,4485.51025390625,4734.1015625,4759.14794921875,4764.5703125,4767.7529296875,4792.927734375
2003-01-12,3959.6855,4421.18408203125,4683.2109375,4718.49560546875,4726.17041015625,4730.67919921875,4758.412109375
2003-01-13,3862.4626,4342.0234375,4617.7998046875,4665.28564453125,4676.40576171875,4683.744140625,4719.0380859375
2003-01-14,3768.1743,4254.35498046875,4539.6025390625,4598.46728515625,4613.103515625,4622.98388671875,4669.14892578125
2003-01-15,3683.2295,4165.9501953125,4452.49853515625,4519.7529296875,4537.33203125,4549.6640625,4606.18115234375
2003-01-16,3612.6516,4084.1044921875,4362.7451171875,4433.53271484375,4452.88037109375,4466.85302734375,4531.765625
2003-01-17,3558.7927,4011.656494140625,4276.7353515625,4345.609375,4365.125,4379.51318359375,4448.9501953125
2003-01-18,3519.6997,3946.6923828125,4198.283203125,4261.5205078125,4279.7841796875,4293.376953125,4362.51171875
2003-01-19,3489.9172,3886.67138671875,4127.40771484375,4184.298828125,4200.6533203125,4212.71826171875,4277.6357421875
2003-01-20,3463.122,3831.850830078125,4062.42822265625,4113.99462890625,4128.52978515625,4139.07177734375,4198.1796875
2003-01-21,3433.8574,3783.002197265625,4002.469482421875,4049.5869140625,4062.65478515625,4072.12646484375,4125.59814453125
2003-01-22,3398.9595,3738.541259765625,3947.309326171875,3990.260498046875,4001.992431640625,4010.352783203125,4059.260498046875
2003-01-23,3358.0168,3695.39404296875,3895.8994140625,3935.436767578125,3945.95849609375,3953.345947265625,3997.986083984375
2003-01-24,3312.0535,3651.23193359375,3846.14697265625,3883.896728515625,3893.561279296875,3900.127685546875,3941.134521484375
2003-01-25,3264.104,3604.806884765625,3796.003173828125,3833.76953125,3843.1484375,3849.57958984375,3888.106689453125
2003-01-26,3220.0454,3559.581298828125,3744.75830078125,3783.2666015625,3792.64306640625,3798.630126953125,3836.688720703125
2003-01-27,3183.0505,3521.6416015625,3694.52880859375,3732.17724609375,3741.46533203125,3747.198974609375,3784.99267578125
2003-01-28,3154.458,3494.831298828125,3650.00927734375,3682.93701171875,3691.36376953125,3696.622314453125,3733.4326171875
2003-01-29,3133.9197,3477.205322265625,3615.904541015625,3640.1640625,3646.54296875,3650.441162109375,3683.47265625
2003-01-30,3122.114,3464.11669921875,3593.356689453125,3607.547607421875,3611.044189453125,3612.814697265625,3638.525634765625
2003-01-31,3117.9255,3452.965087890625,3579.235107421875,3585.868896484375,3586.929931640625,3587.661865234375,3604.16064453125
2003-02-01,3120.3286,3448.593994140625,3569.239013671875,3571.172119140625,3570.44140625,3569.5341796875,3580.285888671875
2003-02-02,3133.4385,3469.307861328125,3566.827392578125,3557.68115234375,3554.02490234375,3550.884765625,3556.18798828125
2003-02-03,3155.0847,3524.59716796875,3581.977294921875,3554.78271484375,3545.982177734375,3538.238525390625,3532.687744140625
2003-02-04,3179.191,3594.73095703125,3626.8076171875,3571.8271484375,3555.77392578125,3543.066162109375,3520.4248046875
2003-02-05,3201.1973,3644.70849609375,3700.20458984375,3617.818359375,3592.9033203125,3573.04296875,3526.277099609375
2003-02-06,3217.9622,3660.60400390625,3782.47998046875,3689.95068359375,3659.39599609375,3635.996337890625,3560.993408203125
2003-02-07,3230.3677,3656.561279296875,3845.117431640625,3766.68798828125,3736.49072265625,3710.826171875,3623.235107421875
2003-02-08,3243.3145,3652.345703125,3873.848876953125,3823.12744140625,3799.1552734375,3777.302734375,3693.533447265625
2003-02-09,3264.0234,3656.942626953125,3876.26123046875,3850.61279296875,3834.906494140625,3819.537109375,3754.761962890625
2003-02-10,3295.8323,3669.182373046875,3868.15087890625,3855.52392578125,3845.87353515625,3836.000244140625,3794.4052734375
2003-02-11,3339.3225,3691.996337890625,3861.09521484375,3849.676513671875,3842.24853515625,3834.74365234375,3810.938720703125
2003-02-12,3401.8057,3732.814208984375,3865.180419921875,3844.347900390625,3835.43212890625,3827.203857421875,3810.625732421875
2003-02-13,3493.907,3794.6279296875,3890.201904296875,3851.5146484375,3838.607666015625,3828.131103515625,3806.31494140625
2003-02-14,3620.0737,3879.63525390625,3939.5537109375,3879.68017578125,3860.79443359375,3845.63720703125,3810.38818359375
2003-02-15,3780.3308,4002.694091796875,4013.2333984375,3930.825927734375,3905.15576171875,3884.15380859375,3829.463134765625
2003-02-16,3966.4487,4174.509765625,4119.75244140625,4008.145751953125,3974.584716796875,3947.69580078125,3869.4814453125
2003-02-17,4158.4736,4369.35302734375,4267.4521484375,4120.03271484375,4076.0224609375,4040.709228515625,3934.762939453125
2003-02-18,4329.9644,4549.3955078125,4444.85986328125,4270.0498046875,4215.7802734375,4171.73095703125,4031.565673828125
2003-02-19,4465.819,4696.6748046875,4625.9072265625,4445.91650390625,4386.42822265625,4337.28955078125,4166.3642578125
2003-02-20,4573.437,4810.17138671875,4788.7275390625,4623.6171875,4565.9462890625,4517.15185546875,4333.00390625
2003-02-21,4668.7393,4902.142578125,4924.04296875,4783.61865234375,4732.47314453125,4688.77197265625,4512.53955078125
2003-02-22,4756.569,4992.10546875,5032.1220703125,4916.0009765625,4872.57568359375,4834.74267578125,4681.73828125
2003-02-23,4839.563,5099.40478515625,5127.0869140625,5024.01611328125,4986.4052734375,4953.646484375,4824.326171875
2003-02-24,4922.66,5218.5166015625,5228.13818359375,5123.09033203125,5086.92138671875,5055.80322265625,4941.4853515625
2003-02-25,5000.0522,5319.8984375,5338.58544921875,5227.24853515625,5189.3818359375,5157.22802734375,5044.94482421875
2003-02-26,5048.867,5387.01611328125,5441.99169921875,5336.462890625,5298.58447265625,5266.33984375,5150.02001953125
2003-02-27,5053.856,5418.45556640625,5518.39599609375,5433.91943359375,5400.64111328125,5371.3701171875,5259.4404296875
2003-02-28,5025.4526,5426.994140625,5560.005859375,5502.88671875,5477.34423828125,5453.78857421875,5359.70458984375
2003-03-01,4984.4424,5437.2373046875,5578.11279296875,5540.609375,5522.38525390625,5504.83984375,5435.26416015625
2003-03-02,4937.63,5453.44921875,5594.12939453125,5552.31494140625,5534.17578125,5518.1337890625,5468.61865234375
2003-03-03,4875.545,5444.40283203125,5618.14794921875,5567.02685546875,5544.6435546875,5526.11279296875,5466.21826171875
2003-03-04,4792.5264,5393.03173828125,5631.23291015625,5584.6865234375,5561.04150390625,5539.7099609375,5467.57666015625
2003-03-05,4703.769,5318.587890625,5609.779296875,5584.41748046875,5564.68017578125,5545.6298828125,5470.03857421875
