,dis24
2004-01-01,5379.738
2004-01-02,5312.2495
2004-01-03,5261.4956
2004-01-04,5219.4243
2004-01-05,5176.5625
2004-01-06,5127.329
2004-01-07,5071.2188
2004-01-08,5010.35
2004-01-09,4945.9873
2004-01-10,4878.685
2004-01-11,4808.621
2004-01-12,4736.955
2004-01-13,4665.4746
2004-01-14,4595.3296
2004-01-15,4526.993
2004-01-16,4459.5137
2004-01-17,4393.2383
2004-01-18,4329.389
2004-01-19,4268.678
2004-01-20,4212.4575
2004-01-21,4160.553
2004-01-22,4111.9863
2004-01-23,4067.9585
2004-01-24,4031.6929
2004-01-25,4003.2913
2004-01-26,3978.9543
2004-01-27,3959.433
2004-01-28,3956.1677
2004-01-29,3985.2703
2004-01-30,4044.7131
2004-01-31,4111.795
2004-02-01,4161.617
2004-02-02,4183.134
2004-02-03,4179.4336
2004-02-04,4164.3926
2004-02-05,4155.629
2004-02-06,4163.6245
2004-02-07,4188.4717
2004-02-08,4222.029
2004-02-09,4254.1567
2004-02-10,4282.255
2004-02-11,4310.5205
2004-02-12,4342.4316
2004-02-13,4374.6987
2004-02-14,4396.5356
2004-02-15,4395.073
2004-02-16,4363.97
2004-02-17,4302.801
2004-02-18,4218.401
2004-02-19,4122.812
2004-02-20,4027.1345
2004-02-21,3941.199
2004-02-22,3871.5593
2004-02-23,3824.0427
2004-02-24,3800.4597
2004-02-25,3793.8525
2004-02-26,3797.803
2004-02-27,3813.5637
2004-02-28,3839.853
2004-02-29,3861.503
2004-03-01,3861.4895
2004-03-02,3848.9985
2004-03-03,3863.7837
2004-03-04,3938.0076
2004-03-05,4061.914
2004-03-06,4204.1704
2004-03-07,4345.379
2004-03-08,4486.7495
2004-03-09,4636.8257
2004-03-10,4806.5845
2004-03-11,4996.6694
2004-03-12,5174.928
2004-03-13,5304.9907
2004-03-14,5384.143
2004-03-15,5456.133
2004-03-16,5609.8867
2004-03-17,5931.364
2004-03-18,6388.187
2004-03-19,6817.9663
2004-03-20,7080.3154
2004-03-21,7152.1807
2004-03-22,7131.3096
2004-03-23,7272.3374
2004-03-24,7866.956
2004-03-25,8710.095
2004-03-26,9379.508
2004-03-27,9752.351
2004-03-28,9975.65
2004-03-29,10179.89
2004-03-30,10293.183
2004-03-31,10233.9375
2004-04-01,10094.584
2004-04-02,10133.237
2004-04-03,10978.503
2004-04-04,13861.834
2004-04-05,18694.42
2004-04-06,22599.027
2004-04-07,24063.139
2004-04-08,23695.408
2004-04-09,22328.818
2004-04-10,20580.934
2004-04-11,18872.814
2004-04-12,17518.424
2004-04-13,16638.045
2004-04-14,16015.701
2004-04-15,15450.141
2004-04-16,15020.859
2004-04-17,14926.868
2004-04-18,15352.896
2004-04-19,16527.654
2004-04-20,18723.24
2004-04-21,21955.44
2004-04-22,25581.928
2004-04-23,28591.867
2004-04-24,30445.424
2004-04-25,31155.064
2004-04-26,30870.605
2004-04-27,29781.795
2004-04-28,28125.441
2004-04-29,26219.023
2004-04-30,24384.361
2004-05-01,22794.213
2004-05-02,21469.756
2004-05-03,20402.436
2004-05-04,19596.363
2004-05-05,19044.236
2004-05-06,18678.459
2004-05-07,18375.805
2004-05-08,18048.297
