,dis24
2017-08-17,80579.086
2017-08-18,83007.48
2017-08-19,80758.35
2017-08-20,75024.52
2017-08-21,68806.86
2017-08-22,63135.63
2017-08-23,58427.133
2017-08-24,54863.15
2017-08-25,52150.3
2017-08-26,49863.562
2017-08-27,47736.766
2017-08-28,46481.37
2017-08-29,46499.26
2017-08-30,45876.145
2017-08-31,43637.434
2017-09-01,40671.105
2017-09-02,38137.25
2017-09-03,36705.777
2017-09-04,36805.023
2017-09-05,37714.87
2017-09-06,38395.01
2017-09-07,38878.6
2017-09-08,38990.043
2017-09-09,38858.04
2017-09-10,39443.48
2017-09-11,42095.094
2017-09-12,48333.02
2017-09-13,54867.074
2017-09-14,55228.34
2017-09-15,51171.61
2017-09-16,46746.395
2017-09-17,43241.15
2017-09-18,40519.836
2017-09-19,38393.047
2017-09-20,36704.246
2017-09-21,35398.65
2017-09-22,34623.234
2017-09-23,34256.13
2017-09-24,33749.906
2017-09-25,32808.945
2017-09-26,31718.693
2017-09-27,30818.086
2017-09-28,30188.12
2017-09-29,29790.818
2017-09-30,29780.39
2017-10-01,31624.059
2017-10-02,36825.125
2017-10-03,41503.67
2017-10-04,42383.383
2017-10-05,40963.656
2017-10-06,38617.24
2017-10-07,36269.094
2017-10-08,34457.695
2017-10-09,33380.855
2017-10-10,32965.58
2017-10-11,32862.883
2017-10-12,32658.3
2017-10-13,32137.523
2017-10-14,31287.143
2017-10-15,30150.0
2017-10-16,28869.045
2017-10-17,27621.914
2017-10-18,26498.625
2017-10-19,25532.047
2017-10-20,24696.844
2017-10-21,24108.072
2017-10-22,24080.736
2017-10-23,24652.21
2017-10-24,25735.793
2017-10-25,27248.139
2017-10-26,28600.643
2017-10-27,29156.928
2017-10-28,28714.764
2017-10-29,27588.533
2017-10-30,26302.822
2017-10-31,25208.98
2017-11-01,24425.92
2017-11-02,23922.791
2017-11-03,23525.24
2017-11-04,23015.95
2017-11-05,22261.004
2017-11-06,21280.11
2017-11-07,20188.795
2017-11-08,19099.588
2017-11-09,18081.908
2017-11-10,17168.154
2017-11-11,16370.366
2017-11-12,15686.547
2017-11-13,15100.6875
2017-11-14,14583.683
2017-11-15,14101.087
2017-11-16,13630.18
2017-11-17,13162.2295
2017-11-18,12695.355
2017-11-19,12239.349
2017-11-20,11805.3
2017-11-21,11399.383
2017-11-22,11027.304
2017-11-23,10693.605
2017-11-24,10401.022
2017-11-25,10142.939
2017-11-26,9903.007
2017-11-27,9675.042
2017-11-28,9466.294
2017-11-29,9283.414
2017-11-30,9120.78
2017-12-01,8964.905
2017-12-02,8806.118
2017-12-03,8643.196
2017-12-04,8479.245
2017-12-05,8318.65
2017-12-06,8166.03
2017-12-07,8023.6577
2017-12-08,7889.9863
2017-12-09,7761.016
2017-12-10,7633.1963
2017-12-11,7500.698
2017-12-12,7357.5933
2017-12-13,7199.5015
2017-12-14,7027.151
2017-12-15,6845.3286
2017-12-16,6662.247
2017-12-17,6486.314
2017-12-18,6322.7886
2017-12-19,6173.3203
2017-12-20,6037.8057
2017-12-21,5916.3467
2017-12-22,5811.3877
2017-12-23,5725.064
2017-12-24,5656.422
2017-12-25,5600.147
2017-12-26,5551.043
2017-12-27,5503.9087
2017-12-28,5449.112
2017-12-29,5376.611
2017-12-30,5285.1377
2017-12-31,5183.105
