,dis24
2007-01-01,4894.4
2007-01-02,4965.0986
2007-01-03,4970.956
2007-01-04,4910.8516
2007-01-05,4803.1016
2007-01-06,4668.9443
2007-01-07,4525.652
2007-01-08,4385.442
2007-01-09,4255.567
2007-01-10,4140.8447
2007-01-11,4045.44
2007-01-12,3971.8103
2007-01-13,3917.348
2007-01-14,3874.695
2007-01-15,3837.9084
2007-01-16,3805.8306
2007-01-17,3780.4705
2007-01-18,3765.018
2007-01-19,3760.7395
2007-01-20,3768.0608
2007-01-21,3783.3074
2007-01-22,3798.7695
2007-01-23,3806.943
2007-01-24,3805.0515
2007-01-25,3794.5815
2007-01-26,3777.5798
2007-01-27,3754.1274
2007-01-28,3724.4504
2007-01-29,3692.077
2007-01-30,3662.2769
2007-01-31,3639.8044
2007-02-01,3628.7954
2007-02-02,3627.2666
2007-02-03,3628.5676
2007-02-04,3625.654
2007-02-05,3614.9248
2007-02-06,3597.821
2007-02-07,3576.3892
2007-02-08,3556.3762
2007-02-09,3550.878
2007-02-10,3578.0857
2007-02-11,3654.6777
2007-02-12,3774.6646
2007-02-13,3902.3176
2007-02-14,3995.6602
2007-02-15,4039.34
2007-02-16,4045.685
2007-02-17,4038.4832
2007-02-18,4047.8523
2007-02-19,4100.5024
2007-02-20,4193.7744
2007-02-21,4303.4194
2007-02-22,4406.451
2007-02-23,4490.737
2007-02-24,4554.1885
2007-02-25,4599.4663
2007-02-26,4631.4346
2007-02-27,4656.804
2007-02-28,4686.237
2007-03-01,4737.028
2007-03-02,4821.8555
2007-03-03,4920.7183
2007-03-04,4997.334
2007-03-05,5052.9966
2007-03-06,5114.6807
2007-03-07,5189.0005
2007-03-08,5263.3774
2007-03-09,5331.193
2007-03-10,5393.3115
2007-03-11,5441.103
2007-03-12,5467.026
2007-03-13,5477.2886
2007-03-14,5481.814
2007-03-15,5490.471
2007-03-16,5508.358
2007-03-17,5541.263
2007-03-18,5596.943
2007-03-19,5676.8994
2007-03-20,5766.3467
2007-03-21,5836.4375
2007-03-22,5857.283
2007-03-23,5819.075
2007-03-24,5730.118
2007-03-25,5614.5894
2007-03-26,5514.9717
2007-03-27,5470.3696
2007-03-28,5501.346
2007-03-29,5601.5938
2007-03-30,5728.725
2007-03-31,5843.375
2007-04-01,5945.514
2007-04-02,6053.0693
2007-04-03,6164.3228
2007-04-04,6263.316
2007-04-05,6351.638
2007-04-06,6470.409
2007-04-07,6676.0664
2007-04-08,6988.009
2007-04-09,7369.786
2007-04-10,7770.8623
2007-04-11,8232.595
2007-04-12,8935.212
2007-04-13,10066.646
2007-04-14,11642.383
2007-04-15,13598.564
2007-04-16,15755.076
2007-04-17,17594.096
2007-04-18,18614.885
2007-04-19,18833.076
2007-04-20,18542.033
2007-04-21,17931.633
2007-04-22,17150.01
2007-04-23,16391.693
2007-04-24,15756.273
2007-04-25,15452.005
2007-04-26,15612.724
2007-04-27,16041.396
2007-04-28,16636.473
2007-04-29,17598.785
2007-04-30,19507.91
2007-05-01,22868.627
2007-05-02,26811.803
2007-05-03,29142.28
2007-05-04,29110.475
2007-05-05,27644.37
2007-05-06,25656.072
2007-05-07,23569.521
2007-05-08,21562.287
2007-05-09,19724.65
2007-05-10,18093.898
2007-05-11,16678.209
2007-05-12,15473.786
2007-05-13,14491.837
2007-05-14,13757.327
2007-05-15,13262.776
2007-05-16,12908.616
2007-05-17,12620.105
2007-05-18,12472.161
2007-05-19,12621.202
2007-05-20,13156.433
2007-05-21,14008.017
2007-05-22,15091.583
2007-05-23,16481.096
2007-05-24,18768.293
2007-05-25,21768.912
2007-05-26,23679.92
2007-05-27,24115.219
2007-05-28,23696.238
2007-05-29,22894.9
2007-05-30,21975.59
2007-05-31,21230.293
2007-06-01,21174.918
2007-06-02,22442.67
2007-06-03,24925.373
2007-06-04,27411.777
2007-06-05,28976.867
2007-06-06,29951.643
2007-06-07,31243.4
2007-06-08,32652.656
2007-06-09,34524.207
2007-06-10,39236.477
2007-06-11,47849.203
2007-06-12,58197.57
2007-06-13,59812.184
2007-06-14,53964.38
2007-06-15,47377.363
2007-06-16,43891.203
2007-06-17,46616.492
2007-06-18,54187.402
2007-06-19,58716.402
2007-06-20,59792.855
2007-06-21,61966.945
2007-06-22,64343.824
2007-06-23,62949.96
2007-06-24,60012.277
2007-06-25,58465.785
2007-06-26,58060.848
2007-06-27,57443.133
2007-06-28,55707.89
2007-06-29,53000.195
2007-06-30,50098.95
2007-07-01,47512.68
2007-07-02,45100.92
2007-07-03,42712.21
2007-07-04,40431.195
2007-07-05,38230.54
2007-07-06,36170.5
2007-07-07,34427.69
2007-07-08,33047.535
2007-07-09,31980.014
2007-07-10,31138.893
2007-07-11,30244.344
2007-07-12,29970.143
2007-07-13,32041.871
2007-07-14,35011.387
2007-07-15,35374.434
2007-07-16,34445.234
2007-07-17,33905.832
2007-07-18,34502.938
2007-07-19,36215.414
2007-07-20,39156.406
2007-07-21,45304.68
2007-07-22,53469.375
2007-07-23,57075.395
2007-07-24,57604.035
2007-07-25,58754.586
2007-07-26,59571.344
2007-07-27,63325.504
2007-07-28,74416.88
2007-07-29,88991.086
2007-07-30,95321.625
2007-07-31,95183.89
2007-08-01,94168.14
2007-08-02,90502.49
2007-08-03,85287.73
2007-08-04,81283.19
2007-08-05,77591.85
2007-08-06,73296.734
2007-08-07,68698.12
2007-08-08,64308.598
2007-08-09,60172.086
2007-08-10,56011.55
2007-08-11,51905.43
2007-08-12,48211.883
2007-08-13,45834.92
2007-08-14,44905.234
2007-08-15,44110.465
2007-08-16,44162.37
2007-08-17,46668.008
2007-08-18,51307.344
2007-08-19,53780.72
2007-08-20,53196.246
