date,dis24_Noonkhawa,dis24_Chilmari,dis24_Bahadurabad,dis24_Sariakandi,dis24_Kazipur,dis24_Serajganj,dis24_Aricha
1993-01-01,3617.6074,4037.3525390625,4325.279296875,4432.82470703125,4465.66845703125,4489.56591796875,4596.75341796875
1993-01-02,3537.2935,3945.773681640625,4213.00634765625,4308.6630859375,4338.01220703125,4359.74462890625,4463.34521484375
1993-01-03,3465.8557,3864.741455078125,4115.1796875,4198.08251953125,4223.3017578125,4241.84716796875,4334.93798828125
1993-01-04,3402.58,3791.3271484375,4031.266845703125,4102.544921875,4124.15087890625,4140.08447265625,4220.9052734375
1993-01-05,3346.9736,3724.8115234375,3958.205322265625,4019.902587890625,4038.2880859375,4051.509765625,4121.1748046875
1993-01-06,3298.861,3666.6162109375,3893.4794921875,3947.68212890625,3963.46337890625,3974.6220703125,4034.2138671875
1993-01-07,3257.4087,3617.890869140625,3835.009765625,3883.47900390625,3897.249755859375,3906.552490234375,3958.326416015625
1993-01-08,3221.1382,3580.219482421875,3782.359619140625,3824.86962890625,3836.76611328125,3844.322998046875,3890.033935546875
1993-01-09,3194.0774,3565.142822265625,3741.441650390625,3773.85546875,3783.359619140625,3789.47216796875,3828.7919921875
1993-01-10,3185.9478,3596.404296875,3727.80419921875,3740.233154296875,3745.290771484375,3748.942138671875,3777.43212890625
1993-01-11,3201.3855,3698.154296875,3760.591064453125,3734.669921875,3730.8984375,3728.1083984375,3739.572509765625
1993-01-12,3240.424,3838.466064453125,3858.073974609375,3774.57421875,3755.68603515625,3741.6201171875,3722.120361328125
1993-01-13,3298.2346,3933.02490234375,4009.027099609375,3875.289794921875,3838.755859375,3811.013916015625,3742.285888671875
1993-01-14,3354.9563,3970.265869140625,4152.2822265625,4016.735107421875,3971.572021484375,3934.43115234375,3816.1015625
1993-01-15,3394.2654,3985.631591796875,4238.85009765625,4145.951171875,4107.57177734375,4073.175537109375,3936.555419921875
1993-01-16,3422.1,3989.158203125,4270.26220703125,4225.92822265625,4202.125,4178.30078125,4065.966064453125
1993-01-17,3451.923,3977.954833984375,4267.47509765625,4256.70654296875,4245.5546875,4232.443359375,4163.18017578125
1993-01-18,3488.6611,3957.075439453125,4245.85986328125,4254.37841796875,4251.248046875,4245.380859375,4214.09375
1993-01-19,3530.794,3936.1982421875,4215.19677734375,4233.46240234375,4234.83837890625,4233.5615234375,4227.06689453125
1993-01-20,3580.5803,3926.025390625,4182.97900390625,4203.80712890625,4207.06103515625,4207.50927734375,4215.22998046875
1993-01-21,3658.0352,3938.427001953125,4157.23974609375,4173.2783203125,4176.216796875,4176.7177734375,4189.68017578125
1993-01-22,3799.4932,3991.80908203125,4149.60302734375,4150.72216796875,4150.77490234375,4149.4951171875,4160.30908203125
1993-01-23,4038.9827,4114.28369140625,4178.98681640625,4149.03515625,4142.24853515625,4136.2802734375,4135.68701171875
1993-01-24,4374.885,4331.4091796875,4272.81884765625,4188.46484375,4168.73583984375,4153.6953125,4127.24462890625
1993-01-25,4743.4536,4641.2890625,4458.15625,4296.27978515625,4256.060546875,4225.97216796875,4152.7958984375
1993-01-26,5041.7656,4993.9267578125,4740.41845703125,4496.3095703125,4430.6162109375,4380.64990234375,4237.4921875
1993-01-27,5198.945,5300.16064453125,5079.26171875,4786.33251953125,4699.31103515625,4630.822265625,4406.8662109375
1993-01-28,5208.7515,5485.146484375,5393.10546875,5118.9541015625,5027.37744140625,4952.09228515625,4668.78564453125
1993-01-29,5106.182,5528.7490234375,5602.06884765625,5410.79052734375,5336.3818359375,5271.216796875,4989.6474609375
1993-01-30,4935.506,5457.1884765625,5674.41650390625,5591.62158203125,5548.0068359375,5505.75830078125,5291.96923828125
1993-01-31,4732.7656,5312.84130859375,5628.224609375,5642.150390625,5630.40576171875,5614.11474609375,5501.11767578125
1993-02-01,4520.8706,5130.85107421875,5501.5361328125,5584.201171875,5597.4091796875,5602.484375,5586.86669921875
1993-02-02,4312.527,4933.01904296875,5328.7646484375,5449.0283203125,5477.22998046875,5496.49658203125,5555.7236328125
1993-02-03,4114.839,4730.96142578125,5133.2412109375,5273.9619140625,5309.78369140625,5335.4169921875,5438.36083984375
1993-02-04,3934.3003,4533.4658203125,4930.802734375,5080.0166015625,5119.70166015625,5148.89697265625,5274.10791015625
1993-02-05,3777.6624,4348.2099609375,4732.5634765625,4881.84814453125,4922.7392578125,4953.294921875,5088.25
1993-02-06,3648.618,4180.341796875,4544.22705078125,4688.2578125,4728.17919921875,4758.14697265625,4895.4462890625
1993-02-07,3546.8215,4035.4189453125,4370.55224609375,4504.7978515625,4542.45263671875,4570.865234375,4704.447265625
1993-02-08,3468.171,3917.466064453125,4216.3759765625,4336.4658203125,4370.49169921875,4396.2236328125,4522.01220703125
1993-02-09,3406.7031,3825.939697265625,4085.466064453125,4187.31298828125,4216.4619140625,4238.384765625,4352.2275390625
1993-02-10,3356.11,3756.888427734375,3979.575439453125,4060.663330078125,4083.948486328125,4101.4794921875,4198.88330078125
1993-02-11,3311.3164,3704.541015625,3897.5810546875,3958.4189453125,3975.7841796875,3989.29541015625,4067.380126953125
1993-02-12,3269.349,3662.25537109375,3834.97802734375,3878.596435546875,3890.204833984375,3898.57763671875,3958.208984375
1993-02-13,3231.3928,3625.254150390625,3784.474853515625,3815.51904296875,3822.275634765625,3826.013671875,3868.63232421875
1993-02-14,3202.1619,3599.3935546875,3742.479248046875,3764.548583984375,3768.184814453125,3769.525146484375,3796.648681640625
1993-02-15,3194.4998,3612.535400390625,3712.635498046875,3723.319091796875,3724.01708984375,3723.201416015625,3740.190673828125
1993-02-16,3234.557,3710.341064453125,3718.558837890625,3699.4736328125,3694.656005859375,3690.61865234375,3695.543212890625
1993-02-17,3342.3074,3875.669921875,3798.486083984375,3717.221435546875,3698.6259765625,3684.7216796875,3666.043701171875
1993-02-18,3532.5984,4084.899169921875,3982.48876953125,3808.801025390625,3766.177978515625,3733.98876953125,3665.77587890625
1993-02-19,3795.8035,4425.96435546875,4308.6640625,4010.409912109375,3934.500732421875,3878.47216796875,3726.407470703125
1993-02-20,4069.497,4840.63330078125,4799.33056640625,4365.4609375,4246.66650390625,4157.67822265625,3888.974365234375
1993-02-21,4332.24,5116.6962890625,5311.59912109375,4859.50830078125,4713.70361328125,4597.60400390625,4194.8779296875
1993-02-22,4571.7563,5250.6455078125,5630.0224609375,5327.591796875,5206.05810546875,5100.38427734375,4647.96728515625
1993-02-23,4766.8247,5337.37255859375,5740.859375,5607.6181640625,5539.82763671875,5474.9267578125,5126.5400390625
1993-02-24,4946.941,5410.466796875,5755.96728515625,5711.19287109375,5682.31591796875,5651.982421875,5463.36376953125
1993-02-25,5190.248,5493.0849609375,5752.6015625,5730.8720703125,5717.283203125,5702.47265625,5621.15771484375
1993-02-26,5560.931,5641.65380859375,5774.5224609375,5736.8544921875,5723.53173828125,5711.072265625,5669.74462890625
1993-02-27,6079.013,5918.67529296875,5871.826171875,5778.40625,5753.724609375,5734.064453125,5684.94580078125
1993-02-28,6730.262,6359.12890625,6099.59375,5907.8720703125,5858.517578125,5821.05419921875,5723.43408203125
1993-03-01,7478.366,6961.8212890625,6497.00439453125,6179.201171875,6093.99853515625,6029.75390625,5840.2646484375
1993-03-02,8246.651,7692.77099609375,7068.38916015625,6618.26025390625,6489.96533203125,6392.341796875,6078.4111328125
1993-03-03,8877.836,8468.443359375,7777.833984375,7232.05712890625,7065.62939453125,6935.79248046875,6474.87744140625
1993-03-04,9204.762,9132.767578125,8534.0341796875,7968.81396484375,7786.142578125,7638.54833984375,7066.07470703125
1993-03-05,9174.318,9511.8291015625,9177.15234375,8703.4462890625,8535.0732421875,8394.5439453125,7797.8349609375
1993-03-06,8859.95,9532.021484375,9543.2255859375,9261.1259765625,9142.490234375,9037.4345703125,8535.4375
1993-03-07,8384.581,9263.599609375,9572.8466796875,9511.322265625,9459.400390625,9406.8759765625,9097.4482421875
1993-03-08,7863.965,8845.1357421875,9332.5908203125,9446.3125,9454.3994140625,9451.3310546875,9355.05859375
1993-03-09,7374.613,8396.6689453125,8945.82421875,9158.0078125,9204.2626953125,9234.6357421875,9304.81640625
1993-03-10,6938.737,7963.0029296875,8517.74609375,8764.26953125,8827.4287109375,8873.4560546875,9038.275390625
1993-03-11,6540.178,7534.0283203125,8094.02294921875,8345.708984375,8413.05078125,8463.9140625,8664.5634765625
1993-03-12,6161.9175,7104.01171875,7677.1484375,7930.86767578125,7998.82763671875,8050.33447265625,8262.4833984375
1993-03-13,5804.794,6683.53173828125,7263.63330078125,7521.2421875,7590.1494140625,7641.7734375,7854.8369140625
1993-03-14,5479.4233,6287.71240234375,6856.556640625,7114.875,7184.19921875,7236.330078125,7449.85791015625
1993-03-15,5197.3936,5932.1181640625,6467.96142578125,6718.419921875,6786.11865234375,6837.39111328125,7051.162109375
1993-03-16,4965.2036,5628.87939453125,6111.392578125,6342.94287109375,6406.318359375,6454.080078125,6657.64794921875
1993-03-17,4793.531,5396.7802734375,5801.2763671875,6000.82666015625,6056.5322265625,6098.9150390625,6283.080078125
1993-03-18,4701.8438,5259.8427734375,5558.908203125,5711.78515625,5755.12451171875,5788.44775390625,5943.2314453125
1993-03-19,4699.265,5217.41357421875,5404.49560546875,5495.0,5522.099609375,5543.48876953125,5657.00830078125
1993-03-20,4746.777,5237.68896484375,5338.20751953125,5360.54833984375,5367.521484375,5373.125,5432.95166015625
1993-03-21,4800.0947,5274.82958984375,5337.3125,5306.716796875,5295.626953125,5287.78173828125,5289.37548828125
1993-03-22,4855.112,5303.4501953125,5365.44091796875,5309.35400390625,5287.3525390625,5270.58544921875,5227.82275390625
1993-03-23,4931.325,5327.5078125,5397.32666015625,5339.3720703125,5314.49365234375,5294.60205078125,5226.54248046875
1993-03-24,5030.107,5362.82080078125,5423.40625,5369.154296875,5345.013671875,5324.59521484375,5254.1650390625
1993-03-25,5123.092,5425.1826171875,5455.62548828125,5397.1015625,5372.59423828125,5352.8984375,5282.5244140625
1993-03-26,5186.702,5509.67041015625,5508.330078125,5434.32861328125,5406.4248046875,5383.259765625,5305.85546875
1993-03-27,5261.7324,5616.07763671875,5586.0849609375,5493.9716796875,5461.40576171875,5436.533203125,5349.775390625
1993-03-28,5477.567,5808.7509765625,5695.04296875,5576.7265625,5537.130859375,5505.87158203125,5413.583984375
1993-03-29,5997.6885,6188.8896484375,5890.57275390625,5702.6083984375,5647.470703125,5605.58349609375,5477.46533203125
1993-03-30,6840.424,6783.38037109375,6264.79833984375,5944.22705078125,5856.7451171875,5791.49658203125,5590.1865234375
1993-03-31,7801.906,7553.0966796875,6866.97021484375,6381.529296875,6245.05859375,6142.5634765625,5813.1123046875
1993-04-01,8662.859,8400.6162109375,7663.07373046875,7046.96533203125,6862.91455078125,6720.17236328125,6221.7744140625
1993-04-02,9306.129,9180.576171875,8530.7041015625,7868.892578125,7664.359375,7501.361328125,6837.3466796875
1993-04-03,9703.567,9776.587890625,9313.265625,8728.484375,8533.5625,8372.9619140625,7651.7685546875
1993-04-04,9922.342,10152.3701171875,9897.7412109375,9450.1337890625,9294.58984375,9163.0927734375,8507.5322265625
1993-04-05,10095.101,10367.9521484375,10258.46875,9950.822265625,9840.57421875,9745.892578125,9217.8447265625
1993-04-06,10312.312,10539.9833984375,10471.708984375,10259.4990234375,10183.73046875,10118.4580078125,9727.5595703125
1993-04-07,10529.976,10735.744140625,10644.576171875,10466.3203125,10407.4658203125,10356.7099609375,10056.6298828125
1993-04-08,10618.706,10909.607421875,10824.5654296875,10647.5390625,10591.873046875,10545.3056640625,10277.3310546875
1993-04-09,10493.474,10953.17578125,10963.6376953125,10812.4443359375,10760.3447265625,10716.9462890625,10469.4365234375
1993-04-10,10164.079,10809.3486328125,10976.828125,10912.2138671875,10879.2177734375,10848.4150390625,10639.5947265625
1993-04-11,9716.27,10504.7041015625,10820.513671875,10860.37890625,10860.3583984375,10855.0986328125,10732.64453125
1993-04-12,9291.371,10139.41015625,10530.951171875,10671.7939453125,10701.1845703125,10721.0869140625,10724.15234375
1993-04-13,9053.277,9851.8798828125,10201.8447265625,10375.126953125,10423.4794921875,10459.5634765625,10554.1640625
1993-04-14,9072.14,9763.2216796875,9950.74609375,10072.28125,10114.0322265625,10148.4404296875,10273.2685546875
1993-04-15,9291.797,9927.67578125,9887.9169921875,9879.841796875,9890.8037109375,9903.7373046875,9969.12890625
1993-04-16,9577.203,10257.609375,10061.0869140625,9905.548828125,9871.666015625,9849.8662109375,9794.33203125
1993-04-17,9885.113,10584.3486328125,10398.4775390625,10147.4208984375,10077.7099609375,10025.322265625,9829.607421875
