date,dis24_Noonkhawa,dis24_Chilmari,dis24_Bahadurabad,dis24_Sariakandi,dis24_Kazipur,dis24_Serajganj,dis24_Aricha
1989-01-01,4548.403,4923.94970703125,5184.83203125,5286.5283203125,5318.298828125,5341.4306640625,5466.92822265625
1989-01-02,4480.255,4839.28076171875,5082.27978515625,5171.181640625,5198.1591796875,5218.11962890625,5336.7236328125
1989-01-03,4411.362,4761.51953125,4993.09912109375,5069.2890625,5092.5400390625,5109.42236328125,5213.6123046875
1989-01-04,4334.1104,4684.96484375,4912.63818359375,4980.1162109375,5000.33447265625,5014.53076171875,5104.18310546875
1989-01-05,4244.84,4603.87158203125,4834.7705078125,4898.017578125,4916.75341796875,4929.46875,5007.5068359375
1989-01-06,4144.7173,4514.86181640625,4754.00048828125,4818.8515625,4837.2021484375,4849.4765625,4920.3037109375
1989-01-07,4038.5757,4417.8818359375,4666.49365234375,4736.943359375,4756.43896484375,4769.3955078125,4837.86279296875
1989-01-08,3931.6814,4316.09423828125,4571.595703125,4648.86279296875,4670.29345703125,4684.86376953125,4755.12890625
1989-01-09,3827.52,4213.1533203125,4470.568359375,4553.43994140625,4576.634765625,4592.32861328125,4667.70703125
1989-01-10,3731.1182,4115.60205078125,4369.212890625,4454.1806640625,4478.54638671875,4495.62548828125,4572.8310546875
1989-01-11,3642.8325,4029.255126953125,4271.88232421875,4354.96875,4379.40478515625,4396.61474609375,4475.78466796875
1989-01-12,3564.4673,3963.1689453125,4184.89111328125,4259.56787109375,4282.3330078125,4298.552734375,4377.66064453125
1989-01-13,3500.4534,3925.18310546875,4120.6748046875,4176.96435546875,4195.68212890625,4209.142578125,4281.76220703125
1989-01-14,3450.8735,3899.388916015625,4089.308349609375,4117.95458984375,4129.61083984375,4138.0322265625,4195.89453125
1989-01-15,3409.7986,3860.083251953125,4083.300048828125,4088.334228515625,4091.845947265625,4093.726318359375,4128.74560546875
1989-01-16,3369.0874,3800.31787109375,4075.66650390625,4077.8701171875,4077.097900390625,4074.73828125,4087.01708984375
1989-01-17,3326.7878,3729.482421875,4042.50927734375,4063.119873046875,4064.760498046875,4063.0087890625,4066.25830078125
1989-01-18,3287.2905,3659.8486328125,3981.256591796875,4026.076416015625,4034.36328125,4037.436279296875,4049.964599609375
1989-01-19,3256.056,3600.451171875,3903.66650390625,3965.2001953125,3979.79931640625,3988.043212890625,4020.161865234375
1989-01-20,3232.979,3555.9853515625,3825.102783203125,3890.458251953125,3908.16552734375,3919.437255859375,3968.9501953125
1989-01-21,3213.4426,3525.53173828125,3757.094970703125,3815.213134765625,3832.33935546875,3843.717041015625,3901.1455078125
1989-01-22,3194.795,3501.9677734375,3704.309814453125,3749.72265625,3763.7626953125,3773.165283203125,3828.02001953125
1989-01-23,3177.006,3478.325927734375,3663.780029296875,3697.43896484375,3707.69482421875,3714.07666015625,3759.78076171875
1989-01-24,3162.0413,3453.221435546875,3630.57177734375,3656.212646484375,3663.38671875,3667.274169921875,3701.880126953125
1989-01-25,3153.7837,3430.005859375,3601.236328125,3622.250244140625,3627.423095703125,3629.447021484375,3655.159912109375
1989-01-26,3154.8293,3413.927001953125,3575.14208984375,3592.6416015625,3596.5634765625,3597.469970703125,3617.07470703125
1989-01-27,3164.6887,3409.3623046875,3554.756591796875,3566.93896484375,3569.513916015625,3569.330810546875,3584.644775390625
1989-01-28,3179.5654,3416.424560546875,3543.1201171875,3547.17138671875,3547.6318359375,3545.773193359375,3556.2802734375
1989-01-29,3192.9663,3430.225341796875,3541.623291015625,3536.155517578125,3533.883544921875,3530.17626953125,3533.330322265625
1989-01-30,3199.0483,3445.25,3547.665283203125,3534.6806640625,3529.749267578125,3523.759033203125,3518.154296875
1989-01-31,3194.2068,3459.5322265625,3556.925537109375,3539.765380859375,3532.990478515625,3525.3134765625,3511.5927734375
1989-02-01,3178.0728,3471.3017578125,3567.124755859375,3548.05810546875,3540.269775390625,3531.749267578125,3512.626708984375
1989-02-02,3152.2332,3473.212646484375,3575.5361328125,3553.18115234375,3543.980712890625,3534.714111328125,3514.171142578125
1989-02-03,3120.2925,3458.403076171875,3577.49853515625,3557.812744140625,3547.712890625,3537.454345703125,3513.24853515625
1989-02-04,3086.4382,3430.986572265625,3568.5087890625,3557.341552734375,3548.736083984375,3538.955078125,3513.71923828125
1989-02-05,3054.9292,3401.927734375,3549.374755859375,3547.526123046875,3541.593017578125,3533.75244140625,3512.576416015625
1989-02-06,3028.685,3379.28759765625,3523.737060546875,3528.160400390625,3524.40771484375,3517.779296875,3504.513671875
1989-02-07,3012.5466,3368.89794921875,3498.427490234375,3502.899658203125,3500.184814453125,3495.10302734375,3487.51953125
