,dis24
1982-01-01,4313.8857
1982-01-02,4344.136
1982-01-03,4361.333
1982-01-04,4353.8994
1982-01-05,4318.3643
1982-01-06,4257.942
1982-01-07,4179.074
1982-01-08,4088.068
1982-01-09,3990.7297
1982-01-10,3892.95
1982-01-11,3800.6294
1982-01-12,3717.1506
1982-01-13,3642.7021
1982-01-14,3576.0034
1982-01-15,3517.246
1982-01-16,3468.795
1982-01-17,3433.3967
1982-01-18,3412.0132
1982-01-19,3402.8164
1982-01-20,3401.253
1982-01-21,3401.023
1982-01-22,3397.263
1982-01-23,3388.0752
1982-01-24,3373.553
1982-01-25,3356.1865
1982-01-26,3337.9011
1982-01-27,3319.4312
1982-01-28,3300.2407
1982-01-29,3279.302
1982-01-30,3256.7932
1982-01-31,3234.0586
1982-02-01,3212.6335
1982-02-02,3196.5107
1982-02-03,3185.9036
1982-02-04,3178.7488
1982-02-05,3172.59
1982-02-06,3163.7861
1982-02-07,3149.892
1982-02-08,3132.1013
1982-02-09,3115.6785
1982-02-10,3107.2737
1982-02-11,3107.4995
1982-02-12,3113.4436
1982-02-13,3122.203
1982-02-14,3132.38
1982-02-15,3143.0747
1982-02-16,3155.6206
1982-02-17,3175.9758
1982-02-18,3211.4866
1982-02-19,3265.731
1982-02-20,3338.102
1982-02-21,3427.1924
1982-02-22,3525.6138
1982-02-23,3619.9175
1982-02-24,3700.1895
1982-02-25,3764.9575
1982-02-26,3819.238
1982-02-27,3868.102
1982-02-28,3914.13
1982-03-01,3961.074
1982-03-02,4009.7751
1982-03-03,4061.958
1982-03-04,4115.902
1982-03-05,4180.2505
1982-03-06,4278.785
1982-03-07,4435.563
1982-03-08,4654.431
1982-03-09,4910.2427
1982-03-10,5157.1323
1982-03-11,5348.857
1982-03-12,5458.8647
1982-03-13,5482.5415
1982-03-14,5430.324
1982-03-15,5326.5396
1982-03-16,5201.6953
1982-03-17,5086.449
1982-03-18,5010.1196
1982-03-19,4995.02
1982-03-20,5054.9185
1982-03-21,5198.0435
1982-03-22,5419.705
1982-03-23,5683.2036
1982-03-24,5926.844
1982-03-25,6103.162
1982-03-26,6204.381
1982-03-27,6263.3286
1982-03-28,6319.5063
1982-03-29,6391.6562
1982-03-30,6477.494
1982-03-31,6557.998
1982-04-01,6606.8994
1982-04-02,6607.283
1982-04-03,6581.5996
1982-04-04,6640.4062
1982-04-05,6901.475
1982-04-06,7279.536
1982-04-07,7592.8027
1982-04-08,7774.18
1982-04-09,7873.277
1982-04-10,7984.47
1982-04-11,8188.434
1982-04-12,8518.881
1982-04-13,8972.412
1982-04-14,9576.474
1982-04-15,10397.619
1982-04-16,11500.218
1982-04-17,12985.521
1982-04-18,14931.934
1982-04-19,16991.033
1982-04-20,18382.549
1982-04-21,18774.154
1982-04-22,18492.133
1982-04-23,17912.504
1982-04-24,17226.25
1982-04-25,16550.695
1982-04-26,16075.806
1982-04-27,15980.339
1982-04-28,16275.402
1982-04-29,16749.139
1982-04-30,17066.822
1982-05-01,17165.094
1982-05-02,17132.615
