,dis24
1994-01-01,5241.8604
1994-01-02,5159.881
1994-01-03,5072.443
1994-01-04,4980.208
1994-01-05,4888.0986
1994-01-06,4801.7407
1994-01-07,4724.1787
1994-01-08,4657.4556
1994-01-09,4607.785
1994-01-10,4580.276
1994-01-11,4567.2324
1994-01-12,4551.8335
1994-01-13,4520.917
1994-01-14,4467.9126
1994-01-15,4391.8125
1994-01-16,4300.094
1994-01-17,4206.53
1994-01-18,4124.011
1994-01-19,4077.5671
1994-01-20,4101.237
1994-01-21,4196.2124
1994-01-22,4312.404
1994-01-23,4393.137
1994-01-24,4417.525
1994-01-25,4401.523
1994-01-26,4372.142
1994-01-27,4345.166
1994-01-28,4319.7847
1994-01-29,4288.686
1994-01-30,4252.159
1994-01-31,4223.4873
1994-02-01,4226.247
1994-02-02,4280.6323
1994-02-03,4404.104
1994-02-04,4591.257
1994-02-05,4793.117
1994-02-06,4943.3604
1994-02-07,5001.1943
1994-02-08,4967.692
1994-02-09,4872.892
1994-02-10,4754.2207
1994-02-11,4632.9834
1994-02-12,4529.183
1994-02-13,4474.8525
1994-02-14,4486.6704
1994-02-15,4544.635
1994-02-16,4623.222
1994-02-17,4721.128
1994-02-18,4850.6064
1994-02-19,5010.359
1994-02-20,5173.8267
1994-02-21,5307.4243
1994-02-22,5385.9004
1994-02-23,5399.7505
1994-02-24,5351.7446
1994-02-25,5273.2754
1994-02-26,5208.3604
1994-02-27,5177.8755
1994-02-28,5172.5728
1994-03-01,5175.5957
1994-03-02,5175.2197
1994-03-03,5177.1
1994-03-04,5196.5137
1994-03-05,5227.8257
1994-03-06,5245.9385
1994-03-07,5238.1226
1994-03-08,5226.3604
1994-03-09,5258.763
1994-03-10,5375.938
1994-03-11,5580.992
1994-03-12,5840.093
1994-03-13,6092.335
1994-03-14,6283.373
1994-03-15,6395.5195
1994-03-16,6462.131
1994-03-17,6547.9697
1994-03-18,6701.63
1994-03-19,6922.6045
1994-03-20,7145.2065
1994-03-21,7303.801
1994-03-22,7458.544
1994-03-23,7753.3833
1994-03-24,8149.0786
1994-03-25,8545.145
1994-03-26,8988.581
1994-03-27,9547.563
1994-03-28,10260.858
1994-03-29,11251.492
1994-03-30,12728.11
1994-03-31,14986.901
1994-04-01,18309.133
1994-04-02,21901.11
1994-04-03,24110.688
1994-04-04,24572.432
1994-04-05,24118.021
1994-04-06,23453.846
1994-04-07,22655.363
1994-04-08,21587.96
1994-04-09,20355.256
1994-04-10,19194.357
1994-04-11,18319.902
1994-04-12,17855.654
1994-04-13,17723.975
1994-04-14,17625.645
1994-04-15,17267.799
1994-04-16,16588.043
1994-04-17,15711.318
1994-04-18,14809.931
1994-04-19,14050.474
1994-04-20,13580.11
1994-04-21,13560.455
1994-04-22,14104.319
1994-04-23,15036.328
1994-04-24,15960.529
1994-04-25,16817.584
1994-04-26,17976.006
1994-04-27,19643.299
1994-04-28,21467.932
1994-04-29,22803.371
1994-04-30,23322.451
1994-05-01,23184.13
1994-05-02,22754.004
1994-05-03,22358.354
1994-05-04,22162.398
1994-05-05,22035.516
1994-05-06,21698.857
1994-05-07,21084.277
1994-05-08,20254.795
1994-05-09,19346.865
1994-05-10,18680.377
1994-05-11,18391.795
1994-05-12,18394.785
1994-05-13,18841.697
1994-05-14,20262.89
1994-05-15,23612.352
1994-05-16,28312.91
1994-05-17,31330.0
1994-05-18,31411.18
1994-05-19,29798.766
1994-05-20,27729.459
1994-05-21,25750.674
1994-05-22,24081.047
1994-05-23,22779.54
1994-05-24,21830.596
1994-05-25,21245.457
1994-05-26,21031.95
1994-05-27,21077.27
1994-05-28,21103.234
1994-05-29,20949.854
1994-05-30,20804.203
1994-05-31,21138.203
1994-06-01,22890.334
1994-06-02,27645.705
1994-06-03,35353.402
1994-06-04,42177.63
1994-06-05,47497.68
1994-06-06,51683.777
1994-06-07,53931.707
1994-06-08,53853.45
1994-06-09,51135.184
1994-06-10,47147.82
1994-06-11,43311.676
1994-06-12,40180.75
1994-06-13,37851.703
1994-06-14,36338.766
1994-06-15,35980.22
1994-06-16,36995.11
1994-06-17,37958.79
1994-06-18,37552.97
1994-06-19,37723.887
1994-06-20,39947.36
1994-06-21,41426.75
1994-06-22,40868.24
1994-06-23,39698.113
1994-06-24,39074.69
1994-06-25,39360.12
1994-06-26,40035.91
1994-06-27,40365.445
1994-06-28,40021.945
1994-06-29,39472.145
1994-06-30,39392.125
1994-07-01,40066.9
1994-07-02,40739.207
1994-07-03,40651.973
1994-07-04,41023.598
1994-07-05,41961.51
1994-07-06,41615.492
1994-07-07,40000.367
1994-07-08,38359.863
1994-07-09,37220.375
1994-07-10,36532.31
1994-07-11,36129.414
1994-07-12,35540.586
1994-07-13,34624.53
1994-07-14,33771.32
1994-07-15,33181.793
1994-07-16,32769.1
1994-07-17,32210.098
1994-07-18,31206.895
1994-07-19,29942.771
1994-07-20,28829.09
1994-07-21,28257.924
1994-07-22,28337.36
1994-07-23,28805.621
1994-07-24,29244.684
1994-07-25,29401.707
1994-07-26,29214.088
1994-07-27,29296.152
1994-07-28,30508.146
1994-07-29,32480.607
1994-07-30,33815.793
1994-07-31,34278.12
1994-08-01,34018.492
1994-08-02,33301.984
1994-08-03,32445.203
1994-08-04,31704.426
1994-08-05,31333.02
1994-08-06,31064.39
1994-08-07,30716.607
1994-08-08,30319.693
1994-08-09,29775.432
1994-08-10,29124.326
1994-08-11,28734.596
1994-08-12,28753.32
1994-08-13,28928.416
1994-08-14,29027.916
1994-08-15,29265.293
1994-08-16,31367.617
1994-08-17,35967.066
1994-08-18,38795.57
1994-08-19,38621.586
1994-08-20,37281.152
1994-08-21,35976.027
1994-08-22,34948.633
1994-08-23,34474.0
1994-08-24,35346.473
1994-08-25,36411.074
1994-08-26,36325.004
1994-08-27,36476.72
1994-08-28,36972.305
1994-08-29,37086.53
1994-08-30,36684.4
1994-08-31,35903.016
1994-09-01,34988.285
1994-09-02,34177.492
1994-09-03,33589.11
1994-09-04,33147.586
1994-09-05,32601.238
1994-09-06,31743.676
1994-09-07,30606.756
1994-09-08,29300.346
1994-09-09,27981.148
1994-09-10,26793.768
1994-09-11,25950.475
1994-09-12,25848.367
1994-09-13,26476.295
1994-09-14,27101.594
1994-09-15,27145.951
1994-09-16,26707.986
1994-09-17,26164.11
1994-09-18,25826.682
1994-09-19,25745.762
1994-09-20,25814.965
1994-09-21,26012.824
1994-09-22,26405.264
1994-09-23,26825.932
1994-09-24,27018.127
1994-09-25,26969.24
1994-09-26,26719.002
1994-09-27,26400.398
1994-09-28,26300.84
1994-09-29,26589.02
1994-09-30,27000.29
1994-10-01,26998.719
1994-10-02,26364.191
1994-10-03,25331.758
1994-10-04,24246.16
1994-10-05,23354.23
1994-10-06,22763.27
1994-10-07,22451.61
1994-10-08,22308.508
1994-10-09,22172.494
1994-10-10,22076.92
1994-10-11,22877.432
1994-10-12,24866.514
1994-10-13,26484.941
1994-10-14,27524.562
1994-10-15,28277.51
1994-10-16,28584.562
1994-10-17,28339.014
1994-10-18,27753.422
1994-10-19,27087.93
1994-10-20,26358.445
1994-10-21,25455.121
1994-10-22,24354.736
1994-10-23,23131.947
1994-10-24,21893.3
1994-10-25,20728.887
1994-10-26,19681.467
1994-10-27,18751.746
1994-10-28,17913.428
1994-10-29,17136.871
1994-10-30,16410.943
1994-10-31,15747.665
1994-11-01,15170.32
1994-11-02,14684.841
1994-11-03,14259.379
1994-11-04,13854.962
1994-11-05,13476.51
1994-11-06,13152.024
1994-11-07,12873.566
1994-11-08,12602.529
1994-11-09,12322.847
1994-11-10,12047.3955
1994-11-11,11778.502
1994-11-12,11500.564
1994-11-13,11208.176
1994-11-14,10914.673
1994-11-15,10634.241
1994-11-16,10373.841
1994-11-17,10135.195
1994-11-18,9908.284
1994-11-19,9674.62
1994-11-20,9422.319
1994-11-21,9152.37
1994-11-22,8873.818
1994-11-23,8596.551
1994-11-24,8327.8
1994-11-25,8072.549
1994-11-26,7830.701
1994-11-27,7603.0156
1994-11-28,7391.9624
1994-11-29,7198.179
1994-11-30,7020.6875
1994-12-01,6855.7646
1994-12-02,6701.5566
1994-12-03,6559.2827
1994-12-04,6432.1055
1994-12-05,6320.5693
1994-12-06,6219.8794
1994-12-07,6121.5596
1994-12-08,6016.756
1994-12-09,5900.5796
1994-12-10,5774.9204
1994-12-11,5645.451
1994-12-12,5519.8013
1994-12-13,5407.568
1994-12-14,5321.4106
1994-12-15,5273.1626
1994-12-16,5256.3687
1994-12-17,5246.243
1994-12-18,5222.6577
1994-12-19,5181.617
1994-12-20,5130.205
1994-12-21,5077.493
1994-12-22,5025.514
1994-12-23,4966.999
1994-12-24,4892.7314
1994-12-25,4799.17
1994-12-26,4690.562
1994-12-27,4575.73
1994-12-28,4463.704
1994-12-29,4361.327
1994-12-30,4271.0645
1994-12-31,4191.8296
