,dis24
1980-01-01,5309.549
1980-01-02,5256.8984
1980-01-03,5228.0127
1980-01-04,5220.75
1980-01-05,5230.443
1980-01-06,5251.024
1980-01-07,5271.349
1980-01-08,5277.866
1980-01-09,5262.426
1980-01-10,5223.8096
1980-01-11,5164.427
1980-01-12,5090.218
1980-01-13,5013.019
1980-01-14,4949.283
1980-01-15,4913.2695
1980-01-16,4911.4365
1980-01-17,4942.2783
1980-01-18,4998.3667
1980-01-19,5063.532
1980-01-20,5115.2725
1980-01-21,5134.007
1980-01-22,5110.7437
1980-01-23,5047.275
1980-01-24,4952.421
1980-01-25,4838.153
1980-01-26,4721.06
1980-01-27,4616.911
1980-01-28,4527.754
1980-01-29,4445.117
1980-01-30,4366.675
1980-01-31,4300.822
1980-02-01,4259.362
1980-02-02,4248.6934
1980-02-03,4264.9214
1980-02-04,4294.4443
1980-02-05,4321.6636
1980-02-06,4340.7866
1980-02-07,4357.5454
1980-02-08,4387.486
1980-02-09,4443.007
1980-02-10,4525.087
1980-02-11,4621.7407
1980-02-12,4713.7695
1980-02-13,4789.901
1980-02-14,4851.647
1980-02-15,4906.54
1980-02-16,4954.9966
1980-02-17,4989.713
1980-02-18,5009.836
1980-02-19,5023.994
1980-02-20,5053.851
1980-02-21,5129.646
1980-02-22,5264.0737
1980-02-23,5432.695
1980-02-24,5588.6567
1980-02-25,5692.817
1980-02-26,5732.185
1980-02-27,5728.6357
1980-02-28,5720.159
1980-02-29,5718.734
1980-03-01,5703.839
1980-03-02,5665.941
1980-03-03,5621.224
1980-03-04,5599.891
1980-03-05,5641.401
1980-03-06,5769.9165
1980-03-07,5960.6377
1980-03-08,6168.9316
1980-03-09,6373.456
1980-03-10,6593.847
1980-03-11,6872.7
1980-03-12,7222.0117
1980-03-13,7613.9907
1980-03-14,8005.328
1980-03-15,8364.355
1980-03-16,8666.095
1980-03-17,8871.157
1980-03-18,8936.974
1980-03-19,8852.077
1980-03-20,8654.825
1980-03-21,8415.619
1980-03-22,8195.333
1980-03-23,8027.4414
1980-03-24,7917.132
1980-03-25,7857.609
1980-03-26,7850.8716
1980-03-27,7875.983
1980-03-28,7880.392
1980-03-29,7827.735
1980-03-30,7721.4404
1980-03-31,7598.6895
1980-04-01,7510.0933
1980-04-02,7497.5293
1980-04-03,7598.8105
1980-04-04,7846.0366
1980-04-05,8289.481
1980-04-06,9062.806
1980-04-07,10346.533
1980-04-08,12011.57
1980-04-09,13441.411
1980-04-10,14152.25
1980-04-11,14217.276
1980-04-12,13947.08
1980-04-13,13570.195
1980-04-14,13182.896
1980-04-15,12817.03
1980-04-16,12521.817
1980-04-17,12368.228
1980-04-18,12414.03
1980-04-19,12656.086
1980-04-20,13026.965
1980-04-21,13469.577
1980-04-22,14031.342
1980-04-23,14802.439
1980-04-24,15726.037
1980-04-25,16593.945
1980-04-26,17303.832
1980-04-27,17950.531
1980-04-28,18569.824
1980-04-29,19100.01
1980-04-30,19848.252
1980-05-01,21818.31
1980-05-02,26439.176
1980-05-03,32879.32
1980-05-04,37389.656
1980-05-05,39275.812
1980-05-06,39938.26
1980-05-07,39716.582
1980-05-08,38492.895
1980-05-09,36256.77
1980-05-10,33738.176
1980-05-11,31618.58
1980-05-12,30097.82
1980-05-13,29095.658
1980-05-14,28657.61
1980-05-15,28439.713
1980-05-16,27906.41
1980-05-17,27191.88
1980-05-18,26766.234
1980-05-19,26786.59
1980-05-20,26910.695
1980-05-21,27010.803
1980-05-22,27278.062
1980-05-23,27589.867
1980-05-24,27682.81
1980-05-25,27545.244
1980-05-26,27304.326
1980-05-27,27026.564
1980-05-28,26839.598
1980-05-29,27016.248
1980-05-30,27266.12
1980-05-31,27245.977
1980-06-01,27123.5
1980-06-02,26963.11
1980-06-03,26635.064
1980-06-04,26288.834
1980-06-05,26144.848
1980-06-06,26125.352
1980-06-07,26091.14
1980-06-08,26076.842
1980-06-09,26250.193
1980-06-10,26708.275
1980-06-11,27713.316
1980-06-12,29485.332
1980-06-13,30748.021
1980-06-14,31005.643
1980-06-15,31598.557
1980-06-16,33750.793
1980-06-17,37318.11
1980-06-18,41046.52
1980-06-19,45330.92
1980-06-20,52052.004
1980-06-21,56559.68
1980-06-22,56164.93
1980-06-23,53380.133
1980-06-24,51248.01
1980-06-25,51008.64
1980-06-26,51846.137
1980-06-27,52079.832
1980-06-28,50936.426
1980-06-29,48728.28
1980-06-30,46218.793
1980-07-01,44075.91
1980-07-02,42424.22
1980-07-03,41058.02
1980-07-04,39828.5
1980-07-05,38541.016
1980-07-06,36995.574
1980-07-07,35345.63
1980-07-08,33976.633
1980-07-09,33104.484
1980-07-10,32956.355
1980-07-11,33546.99
1980-07-12,34409.414
1980-07-13,35292.824
1980-07-14,36444.086
1980-07-15,38063.96
1980-07-16,40140.367
1980-07-17,42516.516
1980-07-18,44808.727
1980-07-19,46821.562
1980-07-20,50242.945
1980-07-21,55563.6
1980-07-22,60486.312
1980-07-23,64236.22
1980-07-24,67820.414
1980-07-25,69534.17
1980-07-26,67275.945
1980-07-27,62289.66
1980-07-28,56764.25
1980-07-29,52170.207
1980-07-30,48997.777
1980-07-31,46778.312
1980-08-01,45501.836
1980-08-02,46402.668
1980-08-03,48331.9
1980-08-04,48225.125
1980-08-05,47186.65
1980-08-06,46740.883
1980-08-07,47697.906
1980-08-08,51298.035
1980-08-09,55646.586
1980-08-10,57579.793
1980-08-11,57852.156
1980-08-12,58078.85
1980-08-13,58617.137
1980-08-14,59123.14
1980-08-15,59057.18
1980-08-16,58786.625
1980-08-17,59917.395
1980-08-18,63302.344
1980-08-19,68171.03
1980-08-20,72855.516
1980-08-21,75703.93
1980-08-22,76646.445
1980-08-23,74665.945
1980-08-24,69888.766
1980-08-25,63943.53
1980-08-26,58219.35
1980-08-27,53316.285
1980-08-28,49430.215
1980-08-29,46757.84
1980-08-30,45216.723
1980-08-31,44109.684
1980-09-01,42949.715
1980-09-02,41703.43
1980-09-03,40478.58
1980-09-04,39387.84
1980-09-05,38358.516
1980-09-06,37261.164
1980-09-07,36313.617
