,dis24
2020-01-01,6074.08
2020-01-02,6105.074
2020-01-03,6120.49
2020-01-04,6103.454
2020-01-05,6047.258
2020-01-06,5958.7026
2020-01-07,5852.4473
2020-01-08,5749.3984
2020-01-09,5667.0977
2020-01-10,5607.3174
2020-01-11,5554.1255
2020-01-12,5493.427
2020-01-13,5423.4634
2020-01-14,5351.994
2020-01-15,5285.0645
2020-01-16,5220.901
2020-01-17,5158.621
2020-01-18,5105.7925
2020-01-19,5077.8857
2020-01-20,5092.391
2020-01-21,5157.72
2020-01-22,5268.0376
2020-01-23,5402.8613
2020-01-24,5531.497
2020-01-25,5626.352
2020-01-26,5675.172
2020-01-27,5684.3516
2020-01-28,5665.1655
2020-01-29,5620.5503
2020-01-30,5552.197
2020-01-31,5469.1587
2020-02-01,5392.0034
2020-02-02,5354.2437
2020-02-03,5397.1357
2020-02-04,5549.2666
2020-02-05,5788.1313
2020-02-06,6033.116
2020-02-07,6194.069
2020-02-08,6227.6763
2020-02-09,6147.2837
2020-02-10,5991.7524
2020-02-11,5797.7964
2020-02-12,5590.8
2020-02-13,5384.198
2020-02-14,5184.8496
2020-02-15,4998.38
2020-02-16,4831.8853
2020-02-17,4691.654
2020-02-18,4582.9385
2020-02-19,4510.307
2020-02-20,4472.9707
2020-02-21,4468.634
2020-02-22,4493.4624
2020-02-23,4542.838
2020-02-24,4608.4795
2020-02-25,4679.1475
2020-02-26,4746.696
2020-02-27,4805.2705
2020-02-28,4852.672
2020-02-29,4890.305
2020-03-01,4920.8325
2020-03-02,4943.487
2020-03-03,4955.877
2020-03-04,4962.2593
2020-03-05,4975.5615
2020-03-06,5018.3047
2020-03-07,5112.4893
2020-03-08,5264.6587
2020-03-09,5447.178
2020-03-10,5620.9565
2020-03-11,5768.536
2020-03-12,5886.1807
2020-03-13,5975.4546
2020-03-14,6049.1123
2020-03-15,6125.494
2020-03-16,6208.121
2020-03-17,6278.6777
2020-03-18,6332.2183
2020-03-19,6376.1157
2020-03-20,6407.0186
2020-03-21,6424.1763
2020-03-22,6445.8467
2020-03-23,6509.689
2020-03-24,6615.825
2020-03-25,6723.846
2020-03-26,6802.0337
2020-03-27,6838.184
2020-03-28,6827.9688
2020-03-29,6793.389
2020-03-30,6791.467
2020-03-31,6884.46
2020-04-01,7085.4775
