,dis24
2009-01-01,4853.3745
2009-01-02,4811.429
2009-01-03,4775.324
2009-01-04,4742.426
2009-01-05,4707.491
2009-01-06,4665.076
2009-01-07,4609.2817
2009-01-08,4537.474
2009-01-09,4454.5215
2009-01-10,4371.7534
2009-01-11,4302.716
2009-01-12,4255.2114
2009-01-13,4226.4824
2009-01-14,4209.3584
2009-01-15,4200.007
2009-01-16,4195.837
2009-01-17,4189.6484
2009-01-18,4173.175
2009-01-19,4144.2266
2009-01-20,4106.9917
2009-01-21,4067.714
2009-01-22,4030.3765
2009-01-23,3998.2073
2009-01-24,3974.0193
2009-01-25,3959.1301
2009-01-26,3948.874
2009-01-27,3936.0996
2009-01-28,3917.039
2009-01-29,3893.5498
2009-01-30,3875.006
2009-01-31,3879.4214
2009-02-01,3919.3384
2009-02-02,3981.2651
2009-02-03,4039.0535
2009-02-04,4081.8628
2009-02-05,4107.774
2009-02-06,4112.902
2009-02-07,4100.919
2009-02-08,4083.7905
2009-02-09,4071.0127
2009-02-10,4064.6335
2009-02-11,4066.3284
2009-02-12,4085.704
2009-02-13,4136.8975
2009-02-14,4224.553
2009-02-15,4338.2056
2009-02-16,4456.8403
2009-02-17,4554.288
2009-02-18,4608.881
2009-02-19,4613.6157
2009-02-20,4575.339
2009-02-21,4506.085
2009-02-22,4418.077
2009-02-23,4324.37
2009-02-24,4237.1772
2009-02-25,4163.697
2009-02-26,4108.339
2009-02-27,4081.2607
2009-02-28,4101.2607
2009-03-01,4184.1
2009-03-02,4325.16
2009-03-03,4495.078
2009-03-04,4652.3364
2009-03-05,4763.4
2009-03-06,4823.5728
2009-03-07,4864.994
2009-03-08,4954.8867
2009-03-09,5188.3647
2009-03-10,5693.9395
2009-03-11,6581.175
2009-03-12,7747.028
2009-03-13,8811.486
2009-03-14,9432.931
2009-03-15,9564.9375
2009-03-16,9342.724
2009-03-17,8912.169
2009-03-18,8380.081
2009-03-19,7823.489
2009-03-20,7296.1553
2009-03-21,6832.9697
2009-03-22,6459.0356
2009-03-23,6199.113
2009-03-24,6073.3154
2009-03-25,6090.6567
2009-03-26,6230.7427
2009-03-27,6436.4155
2009-03-28,6628.192
2009-03-29,6748.3125
2009-03-30,6783.315
2009-03-31,6736.3394
2009-04-01,6625.5176
2009-04-02,6500.466
2009-04-03,6415.1104
2009-04-04,6389.717
2009-04-05,6411.6914
2009-04-06,6475.9873
2009-04-07,6588.388
2009-04-08,6735.5273
2009-04-09,6886.5977
2009-04-10,7056.7837
2009-04-11,7274.472
2009-04-12,7531.849
2009-04-13,7841.7334
2009-04-14,8240.807
2009-04-15,8704.723
2009-04-16,9142.553
2009-04-17,9548.332
2009-04-18,10000.808
2009-04-19,10533.076
2009-04-20,11170.171
2009-04-21,11890.788
2009-04-22,12538.542
2009-04-23,12950.883
2009-04-24,13176.876
2009-04-25,13335.438
2009-04-26,13391.302
2009-04-27,13286.542
2009-04-28,13141.586
2009-04-29,13247.768
2009-04-30,13859.9375
2009-05-01,14833.555
2009-05-02,15725.948
2009-05-03,16345.95
2009-05-04,16587.742
2009-05-05,16665.414
2009-05-06,16733.02
2009-05-07,16749.158
2009-05-08,16625.81
2009-05-09,16339.339
