,dis24
2011-01-01,5508.3335
2011-01-02,5438.7285
2011-01-03,5352.921
2011-01-04,5254.2773
2011-01-05,5153.7017
2011-01-06,5061.7993
2011-01-07,4981.0796
2011-01-08,4907.027
2011-01-09,4835.597
2011-01-10,4766.24
2011-01-11,4700.245
2011-01-12,4638.367
2011-01-13,4580.143
2011-01-14,4525.4097
2011-01-15,4474.933
2011-01-16,4429.2773
2011-01-17,4393.299
2011-01-18,4374.8115
2011-01-19,4380.141
2011-01-20,4409.6313
2011-01-21,4455.056
2011-01-22,4500.6636
2011-01-23,4530.7812
2011-01-24,4536.1978
2011-01-25,4515.9614
2011-01-26,4476.81
2011-01-27,4429.9365
2011-01-28,4387.8496
2011-01-29,4361.5
2011-01-30,4358.442
2011-01-31,4382.7056
2011-02-01,4434.207
2011-02-02,4504.5234
2011-02-03,4581.6074
2011-02-04,4652.2314
2011-02-05,4704.0166
2011-02-06,4728.097
2011-02-07,4719.31
2011-02-08,4677.681
2011-02-09,4609.7773
2011-02-10,4529.1377
2011-02-11,4451.471
2011-02-12,4392.5522
2011-02-13,4368.9604
2011-02-14,4388.871
2011-02-15,4443.787
2011-02-16,4512.4736
2011-02-17,4575.174
2011-02-18,4621.359
2011-02-19,4656.447
2011-02-20,4701.443
2011-02-21,4769.4575
2011-02-22,4850.014
2011-02-23,4919.771
2011-02-24,4965.5176
2011-02-25,4990.1733
2011-02-26,5005.833
2011-02-27,5026.1323
2011-02-28,5059.546
2011-03-01,5117.4404
2011-03-02,5224.906
2011-03-03,5425.158
2011-03-04,5749.5474
2011-03-05,6156.259
2011-03-06,6517.7563
2011-03-07,6709.8027
2011-03-08,6704.8105
2011-03-09,6560.283
2011-03-10,6347.2817
2011-03-11,6117.901
2011-03-12,5906.446
2011-03-13,5735.955
2011-03-14,5602.899
2011-03-15,5492.0894
2011-03-16,5394.597
2011-03-17,5304.865
2011-03-18,5224.4736
2011-03-19,5164.579
2011-03-20,5143.513
2011-03-21,5191.04
2011-03-22,5372.5854
2011-03-23,5815.92
2011-03-24,6627.146
2011-03-25,7700.0576
2011-03-26,8716.891
2011-03-27,9413.6
2011-03-28,9757.384
2011-03-29,9867.834
2011-03-30,9923.368
2011-03-31,10242.161
2011-04-01,11400.162
2011-04-02,13668.527
2011-04-03,16005.978
2011-04-04,17230.572
2011-04-05,17322.727
2011-04-06,16746.566
2011-04-07,15872.039
2011-04-08,14925.43
2011-04-09,14016.802
2011-04-10,13185.758
2011-04-11,12464.307
2011-04-12,11906.9
2011-04-13,11573.066
2011-04-14,11506.581
2011-04-15,11739.3955
2011-04-16,12271.05
2011-04-17,12992.99
2011-04-18,13632.348
2011-04-19,13955.573
2011-04-20,13926.694
2011-04-21,13655.755
2011-04-22,13292.75
2011-04-23,12940.271
2011-04-24,12612.52
2011-04-25,12306.943
2011-04-26,12062.074
2011-04-27,11952.952
2011-04-28,12118.86
2011-04-29,12716.262
2011-04-30,13848.036
2011-05-01,15487.479
2011-05-02,17225.332
2011-05-03,18346.643
2011-05-04,18663.105
2011-05-05,18867.71
2011-05-06,19489.45
2011-05-07,19950.883
2011-05-08,19666.26
2011-05-09,18903.1
2011-05-10,18087.074
2011-05-11,17509.625
2011-05-12,17374.887
2011-05-13,17615.654
2011-05-14,17991.883
2011-05-15,18283.832
2011-05-16,18337.406
2011-05-17,18161.875
2011-05-18,17834.406
2011-05-19,17479.648
2011-05-20,17262.018
2011-05-21,17248.072
2011-05-22,17394.707
2011-05-23,17668.338
2011-05-24,18292.717
2011-05-25,19474.68
2011-05-26,20917.062
2011-05-27,22202.654
2011-05-28,23135.545
2011-05-29,23845.781
2011-05-30,24733.945
2011-05-31,26172.178
2011-06-01,28301.791
2011-06-02,30663.36
2011-06-03,32200.791
2011-06-04,32454.94
2011-06-05,32203.035
2011-06-06,32453.008
2011-06-07,33181.73
2011-06-08,34435.52
2011-06-09,37231.41
2011-06-10,41335.15
2011-06-11,44486.02
2011-06-12,45263.95
2011-06-13,44178.18
2011-06-14,42069.074
2011-06-15,39536.754
2011-06-16,37240.266
2011-06-17,35747.734
2011-06-18,35383.367
2011-06-19,36268.92
2011-06-20,38764.844
2011-06-21,41491.832
2011-06-22,42755.96
2011-06-23,42426.523
2011-06-24,41324.816
2011-06-25,40575.176
2011-06-26,41434.59
2011-06-27,44060.53
2011-06-28,45796.402
2011-06-29,47151.676
2011-06-30,49344.78
