,dis24
1995-01-01,4122.276
1995-01-02,4060.7458
1995-01-03,4006.4597
1995-01-04,3964.2266
1995-01-05,3937.1624
1995-01-06,3916.65
1995-01-07,3889.491
1995-01-08,3848.8218
1995-01-09,3796.9749
1995-01-10,3743.1824
1995-01-11,3691.1677
1995-01-12,3643.0527
1995-01-13,3604.6284
1995-01-14,3579.1572
1995-01-15,3564.6194
1995-01-16,3554.5027
1995-01-17,3542.417
1995-01-18,3524.951
1995-01-19,3500.5728
1995-01-20,3469.8015
1995-01-21,3437.8066
1995-01-22,3411.6904
1995-01-23,3398.081
1995-01-24,3402.4016
1995-01-25,3427.8774
1995-01-26,3470.8691
1995-01-27,3519.898
1995-01-28,3559.419
1995-01-29,3575.2651
1995-01-30,3564.6697
1995-01-31,3538.0427
1995-02-01,3511.362
1995-02-02,3497.8977
1995-02-03,3504.6562
1995-02-04,3528.3047
1995-02-05,3554.792
1995-02-06,3572.635
1995-02-07,3576.9739
1995-02-08,3572.0925
1995-02-09,3567.6042
1995-02-10,3569.2944
1995-02-11,3576.1638
1995-02-12,3588.2625
1995-02-13,3604.874
1995-02-14,3619.694
1995-02-15,3623.494
1995-02-16,3612.995
1995-02-17,3590.9763
1995-02-18,3567.8252
1995-02-19,3565.2278
1995-02-20,3603.5925
1995-02-21,3673.601
1995-02-22,3751.7576
1995-02-23,3831.639
1995-02-24,3916.5618
1995-02-25,4007.1934
1995-02-26,4108.1807
1995-02-27,4232.6514
1995-02-28,4391.859
1995-03-01,4576.948
1995-03-02,4768.055
1995-03-03,4957.167
1995-03-04,5155.921
1995-03-05,5377.6094
1995-03-06,5621.8926
1995-03-07,5879.1665
1995-03-08,6133.0454
1995-03-09,6362.692
1995-03-10,6558.6406
1995-03-11,6725.3574
1995-03-12,6868.88
1995-03-13,6974.5264
1995-03-14,7023.243
1995-03-15,7009.5747
1995-03-16,6940.1187
1995-03-17,6829.479
1995-03-18,6695.4434
1995-03-19,6558.387
1995-03-20,6444.407
1995-03-21,6384.89
1995-03-22,6401.122
1995-03-23,6503.445
1995-03-24,6685.6763
1995-03-25,6916.73
1995-03-26,7152.335
1995-03-27,7361.5527
1995-03-28,7541.9307
1995-03-29,7704.63
1995-03-30,7869.3237
1995-03-31,8048.6084
1995-04-01,8210.869
1995-04-02,8312.475
1995-04-03,8352.9795
1995-04-04,8361.101
1995-04-05,8382.389
1995-04-06,8487.427
1995-04-07,8769.211
1995-04-08,9348.286
1995-04-09,10332.717
1995-04-10,11631.548
1995-04-11,12843.684
1995-04-12,13542.503
1995-04-13,13643.739
1995-04-14,13350.438
1995-04-15,12905.29
1995-04-16,12453.235
1995-04-17,11992.741
1995-04-18,11483.704
1995-04-19,10957.7705
1995-04-20,10491.949
1995-04-21,10155.883
1995-04-22,10013.339
1995-04-23,10185.024
1995-04-24,10888.548
1995-04-25,12193.832
1995-04-26,13611.159
1995-04-27,14464.363
1995-04-28,14633.978
1995-04-29,14525.023
1995-04-30,14735.219
1995-05-01,15857.539
1995-05-02,18097.39
1995-05-03,20822.516
1995-05-04,22984.486
1995-05-05,23943.207
1995-05-06,23859.766
1995-05-07,23434.846
1995-05-08,23358.363
1995-05-09,23939.002
1995-05-10,25245.85
1995-05-11,27444.473
1995-05-12,30244.213
1995-05-13,32394.865
1995-05-14,32834.746
1995-05-15,31672.72
1995-05-16,29707.486
1995-05-17,27847.488
1995-05-18,26972.963
1995-05-19,27090.92
1995-05-20,27469.625
1995-05-21,28510.793
1995-05-22,31546.816
1995-05-23,37100.25
1995-05-24,43814.176
1995-05-25,49297.55
1995-05-26,52061.15
1995-05-27,52259.277
1995-05-28,50912.914
1995-05-29,48979.3
1995-05-30,46854.195
1995-05-31,44619.395
1995-06-01,42341.96
1995-06-02,40083.586
1995-06-03,37881.855
1995-06-04,35921.22
1995-06-05,34893.11
1995-06-06,35308.94
1995-06-07,35194.434
1995-06-08,33956.285
1995-06-09,32529.186
1995-06-10,31159.986
1995-06-11,29826.857
1995-06-12,28676.645
1995-06-13,27989.791
1995-06-14,27967.951
1995-06-15,29250.701
1995-06-16,35459.24
1995-06-17,51999.52
1995-06-18,75648.414
1995-06-19,85233.32
1995-06-20,86581.23
1995-06-21,87037.92
1995-06-22,85615.29
1995-06-23,82968.62
1995-06-24,78793.59
1995-06-25,74409.15
1995-06-26,72099.49
1995-06-27,71310.24
1995-06-28,69748.2
1995-06-29,66484.195
1995-06-30,62388.75
1995-07-01,59318.87
1995-07-02,59795.957
1995-07-03,62916.137
1995-07-04,66490.62
1995-07-05,74528.414
1995-07-06,85620.08
1995-07-07,93551.39
1995-07-08,98415.53
1995-07-09,106035.06
1995-07-10,112168.086
1995-07-11,108746.31
1995-07-12,101820.34
1995-07-13,95618.35
1995-07-14,90295.164
1995-07-15,84405.05
1995-07-16,77711.4
1995-07-17,71379.73
1995-07-18,66253.875
1995-07-19,63451.12
1995-07-20,63103.137
1995-07-21,63102.336
1995-07-22,62090.414
1995-07-23,60050.535
1995-07-24,57830.86
1995-07-25,55587.547
1995-07-26,53135.55
1995-07-27,50574.29
1995-07-28,48213.77
1995-07-29,46566.844
1995-07-30,45623.15
1995-07-31,44277.46
1995-08-01,43022.016
1995-08-02,42886.2
1995-08-03,42890.812
1995-08-04,41738.61
1995-08-05,40162.77
1995-08-06,38870.336
1995-08-07,37745.535
1995-08-08,36751.473
1995-08-09,35973.316
1995-08-10,35350.06
1995-08-11,34784.47
1995-08-12,34262.664
1995-08-13,35329.848
1995-08-14,44481.367
1995-08-15,65168.15
1995-08-16,80081.76
1995-08-17,81573.72
1995-08-18,77829.93
1995-08-19,74368.68
1995-08-20,70996.5
1995-08-21,66960.82
1995-08-22,62698.586
1995-08-23,58761.438
1995-08-24,55219.24
1995-08-25,51911.918
1995-08-26,48732.777
1995-08-27,45756.953
1995-08-28,43159.223
1995-08-29,41079.25
1995-08-30,39606.117
1995-08-31,38841.82
1995-09-01,38586.92
1995-09-02,37784.85
1995-09-03,36245.098
1995-09-04,34873.39
1995-09-05,34248.68
1995-09-06,34367.016
1995-09-07,34772.336
1995-09-08,35099.44
1995-09-09,35275.72
1995-09-10,35154.95
1995-09-11,34566.332
1995-09-12,33793.0
1995-09-13,33096.855
1995-09-14,32516.027
1995-09-15,32027.664
1995-09-16,31587.06
1995-09-17,31062.777
1995-09-18,30484.938
1995-09-19,29937.123
1995-09-20,29388.447
1995-09-21,28878.494
1995-09-22,29294.66
1995-09-23,32299.45
1995-09-24,38655.4
1995-09-25,49681.617
1995-09-26,56124.418
1995-09-27,58033.13
1995-09-28,61736.625
1995-09-29,66039.24
1995-09-30,67208.09
1995-10-01,64572.1
1995-10-02,59430.918
1995-10-03,53955.684
1995-10-04,49830.004
1995-10-05,47476.31
1995-10-06,46232.93
1995-10-07,44903.23
1995-10-08,42910.2
1995-10-09,40557.402
1995-10-10,38322.566
1995-10-11,36386.984
1995-10-12,34677.16
1995-10-13,33117.027
1995-10-14,31699.701
1995-10-15,30426.586
1995-10-16,29318.992
1995-10-17,28385.363
1995-10-18,27531.035
1995-10-19,26606.799
1995-10-20,25579.688
1995-10-21,24540.312
1995-10-22,23553.537
1995-10-23,22653.043
1995-10-24,21871.691
1995-10-25,21227.596
1995-10-26,20739.186
1995-10-27,20439.545
1995-10-28,20368.455
1995-10-29,20482.54
1995-10-30,20564.121
1995-10-31,20350.63
1995-11-01,19749.785
1995-11-02,18867.992
1995-11-03,17875.95
1995-11-04,16903.59
1995-11-05,16009.007
1995-11-06,15198.834
1995-11-07,14464.481
1995-11-08,13797.411
1995-11-09,13193.434
1995-11-10,12656.522
1995-11-11,12215.137
1995-11-12,11926.033
1995-11-13,11857.634
1995-11-14,12220.17
1995-11-15,12575.483
1995-11-16,12456.079
1995-11-17,12049.434
1995-11-18,11598.933
1995-11-19,11218.673
1995-11-20,10930.67
1995-11-21,10694.58
1995-11-22,10453.253
1995-11-23,10194.051
1995-11-24,9958.593
1995-11-25,9802.23
1995-11-26,9749.792
1995-11-27,9760.282
1995-11-28,9755.3955
1995-11-29,9672.527
1995-11-30,9493.385
1995-12-01,9237.88
1995-12-02,8939.141
1995-12-03,8628.102
1995-12-04,8330.414
1995-12-05,8067.9546
1995-12-06,7855.3936
1995-12-07,7693.9697
1995-12-08,7570.8813
1995-12-09,7466.154
1995-12-10,7364.6606
1995-12-11,7262.996
1995-12-12,7165.7393
1995-12-13,7081.5684
1995-12-14,7013.439
1995-12-15,6949.52
1995-12-16,6871.629
1995-12-17,6771.958
1995-12-18,6658.793
1995-12-19,6548.5464
1995-12-20,6454.4414
1995-12-21,6377.8613
1995-12-22,6314.995
1995-12-23,6266.029
1995-12-24,6236.0234
1995-12-25,6230.597
1995-12-26,6251.5063
1995-12-27,6294.6084
1995-12-28,6350.9985
1995-12-29,6417.0503
1995-12-30,6486.9336
1995-12-31,6546.643
