,dis24
2013-01-01,5372.0337
2013-01-02,5346.151
2013-01-03,5271.0713
2013-01-04,5155.4424
2013-01-05,5016.805
2013-01-06,4873.1226
2013-01-07,4739.8247
2013-01-08,4628.135
2013-01-09,4540.2275
2013-01-10,4471.753
2013-01-11,4416.0615
2013-01-12,4364.313
2013-01-13,4305.3354
2013-01-14,4231.7314
2013-01-15,4144.4897
2013-01-16,4049.706
2013-01-17,3954.4014
2013-01-18,3864.4734
2013-01-19,3782.9224
2013-01-20,3710.3203
2013-01-21,3647.807
2013-01-22,3596.8755
2013-01-23,3560.5737
2013-01-24,3545.3215
2013-01-25,3556.454
2013-01-26,3588.134
2013-01-27,3623.1155
2013-01-28,3645.558
2013-01-29,3649.2456
2013-01-30,3634.4868
2013-01-31,3604.5342
2013-02-01,3563.272
2013-02-02,3514.2566
2013-02-03,3457.1658
2013-02-04,3394.2227
2013-02-05,3329.833
2013-02-06,3267.8672
2013-02-07,3212.628
2013-02-08,3169.6729
2013-02-09,3143.8452
2013-02-10,3134.552
2013-02-11,3138.9246
2013-02-12,3152.3953
2013-02-13,3169.1814
2013-02-14,3183.5847
2013-02-15,3190.5027
2013-02-16,3184.6355
2013-02-17,3165.49
2013-02-18,3138.1216
2013-02-19,3107.0378
2013-02-20,3083.8086
2013-02-21,3092.4924
2013-02-22,3157.0044
2013-02-23,3270.1682
2013-02-24,3396.8557
2013-02-25,3503.341
2013-02-26,3568.2087
2013-02-27,3588.213
2013-02-28,3579.6277
2013-03-01,3564.1877
2013-03-02,3551.9707
2013-03-03,3541.5605
2013-03-04,3529.592
2013-03-05,3519.3472
2013-03-06,3523.1504
2013-03-07,3555.9583
2013-03-08,3627.159
2013-03-09,3732.195
2013-03-10,3853.325
2013-03-11,3965.1372
2013-03-12,4048.6147
2013-03-13,4092.2415
2013-03-14,4096.039
2013-03-15,4068.435
2013-03-16,4018.021
2013-03-17,3949.388
2013-03-18,3871.7415
2013-03-19,3793.6357
2013-03-20,3716.2368
2013-03-21,3639.8289
2013-03-22,3569.9993
2013-03-23,3513.4094
2013-03-24,3479.6885
2013-03-25,3481.795
2013-03-26,3536.2505
2013-03-27,3646.6968
2013-03-28,3795.297
2013-03-29,3960.8674
2013-03-30,4137.2144
2013-03-31,4327.205
2013-04-01,4547.3228
2013-04-02,4841.643
2013-04-03,5245.622
2013-04-04,5746.837
2013-04-05,6271.0117
2013-04-06,6710.198
2013-04-07,7005.601
2013-04-08,7199.536
2013-04-09,7371.148
2013-04-10,7549.0625
2013-04-11,7725.9155
2013-04-12,7924.5034
2013-04-13,8198.911
2013-04-14,8566.435
2013-04-15,8966.27
2013-04-16,9308.6
2013-04-17,9557.344
2013-04-18,9760.095
2013-04-19,9989.494
2013-04-20,10296.161
2013-04-21,10702.04
2013-04-22,11297.387
2013-04-23,12285.323
2013-04-24,13730.261
2013-04-25,15193.518
2013-04-26,16053.25
2013-04-27,16130.005
2013-04-28,15645.407
2013-04-29,14894.282
2013-04-30,14096.108
2013-05-01,13429.74
2013-05-02,13064.474
2013-05-03,12927.759
2013-05-04,12864.424
2013-05-05,12882.291
2013-05-06,13071.23
2013-05-07,13290.16
2013-05-08,13403.003
2013-05-09,13543.371
2013-05-10,14252.324
2013-05-11,16654.143
