,dis24
2006-01-01,4430.6714
2006-01-02,4370.184
2006-01-03,4307.4463
2006-01-04,4240.909
2006-01-05,4171.98
2006-01-06,4103.215
2006-01-07,4036.6372
2006-01-08,3974.152
2006-01-09,3917.5786
2006-01-10,3867.9885
2006-01-11,3825.2166
2006-01-12,3787.5154
2006-01-13,3752.8596
2006-01-14,3719.5566
2006-01-15,3686.483
2006-01-16,3654.1497
2006-01-17,3624.8496
2006-01-18,3601.9326
2006-01-19,3586.0867
2006-01-20,3573.5737
2006-01-21,3560.7058
2006-01-22,3548.895
2006-01-23,3543.443
2006-01-24,3546.4958
2006-01-25,3556.909
2006-01-26,3570.2495
2006-01-27,3582.341
2006-01-28,3591.854
2006-01-29,3599.1125
2006-01-30,3605.0303
2006-01-31,3609.9946
2006-02-01,3613.116
2006-02-02,3611.693
2006-02-03,3603.8765
2006-02-04,3589.1365
2006-02-05,3567.578
2006-02-06,3540.1768
2006-02-07,3509.6797
2006-02-08,3482.0955
2006-02-09,3462.7249
2006-02-10,3452.2393
2006-02-11,3448.1943
2006-02-12,3445.9197
2006-02-13,3442.1353
2006-02-14,3435.8074
2006-02-15,3426.4668
2006-02-16,3411.0215
2006-02-17,3386.2148
2006-02-18,3352.0386
2006-02-19,3316.6956
2006-02-20,3296.6582
2006-02-21,3306.845
2006-02-22,3346.456
2006-02-23,3400.9854
2006-02-24,3458.028
2006-02-25,3521.435
2006-02-26,3616.3293
2006-02-27,3783.3494
2006-02-28,4071.3328
2006-03-01,4504.0356
2006-03-02,4987.553
2006-03-03,5407.0664
2006-03-04,5786.615
2006-03-05,6198.752
2006-03-06,6634.756
2006-03-07,7026.5254
2006-03-08,7335.5166
2006-03-09,7584.3857
2006-03-10,7843.2812
2006-03-11,8205.902
2006-03-12,8724.955
2006-03-13,9301.526
2006-03-14,9725.368
2006-03-15,9862.205
2006-03-16,9718.827
2006-03-17,9367.287
2006-03-18,8899.4795
2006-03-19,8412.167
2006-03-20,7974.7085
2006-03-21,7612.773
2006-03-22,7322.433
2006-03-23,7090.131
2006-03-24,6901.8833
2006-03-25,6761.6187
2006-03-26,6697.907
2006-03-27,6742.974
2006-03-28,6917.6855
2006-03-29,7213.226
2006-03-30,7562.9526
2006-03-31,7850.4873
2006-04-01,7987.9927
2006-04-02,7958.2866
2006-04-03,7788.2583
2006-04-04,7528.4214
2006-04-05,7233.1914
2006-04-06,6954.7817
2006-04-07,6743.168
2006-04-08,6664.1973
2006-04-09,6789.619
2006-04-10,7157.094
2006-04-11,7776.849
2006-04-12,8583.998
2006-04-13,9390.319
2006-04-14,9994.667
2006-04-15,10303.139
2006-04-16,10364.928
2006-04-17,10324.999
2006-04-18,10349.335
2006-04-19,10525.93
2006-04-20,10847.456
2006-04-21,11451.677
2006-04-22,13251.383
2006-04-23,17705.768
2006-04-24,23081.018
2006-04-25,25648.959
2006-04-26,25465.016
2006-04-27,24129.86
2006-04-28,22538.076
2006-04-29,21018.508
2006-04-30,19625.21
2006-05-01,18264.71
2006-05-02,16875.955
2006-05-03,15499.095
2006-05-04,14230.432
2006-05-05,13154.177
2006-05-06,12318.547
2006-05-07,11790.797
2006-05-08,11600.419
2006-05-09,11601.745
2006-05-10,11679.35
2006-05-11,11821.664
2006-05-12,12059.906
2006-05-13,12450.177
2006-05-14,13060.344
2006-05-15,14024.841
2006-05-16,15303.299
2006-05-17,16508.865
2006-05-18,17278.01
2006-05-19,17617.582
2006-05-20,17832.262
2006-05-21,18250.262
2006-05-22,18983.66
2006-05-23,19845.766
2006-05-24,20399.152
2006-05-25,20256.598
2006-05-26,19456.922
2006-05-27,18326.994
2006-05-28,17200.086
2006-05-29,16298.786
2006-05-30,15863.338
2006-05-31,16383.01
2006-06-01,18083.156
2006-06-02,20343.398
2006-06-03,22524.668
2006-06-04,24545.56
2006-06-05,26459.078
2006-06-06,28757.531
2006-06-07,32520.197
2006-06-08,37078.73
2006-06-09,39668.594
2006-06-10,39177.45
2006-06-11,36759.914
2006-06-12,33906.42
2006-06-13,32343.941
2006-06-14,33326.434
2006-06-15,34430.83
2006-06-16,35125.727
2006-06-17,36987.203
2006-06-18,41424.402
2006-06-19,46948.25
2006-06-20,50325.727
2006-06-21,50602.246
2006-06-22,48820.082
2006-06-23,46099.938
2006-06-24,42996.97
2006-06-25,39886.65
2006-06-26,37335.3
2006-06-27,35992.645
2006-06-28,35800.34
2006-06-29,35791.395
2006-06-30,36028.344
2006-07-01,35800.652
2006-07-02,34294.863
2006-07-03,32544.113
2006-07-04,31365.244
2006-07-05,30635.332
2006-07-06,30041.895
2006-07-07,29583.555
2006-07-08,30395.059
2006-07-09,35875.11
2006-07-10,41461.66
2006-07-11,41107.605
2006-07-12,38885.613
2006-07-13,37354.13
2006-07-14,36531.98
2006-07-15,36025.246
2006-07-16,35734.164
2006-07-17,35589.32
2006-07-18,35410.367
2006-07-19,35130.387
2006-07-20,34728.645
2006-07-21,34305.58
2006-07-22,34214.41
2006-07-23,34303.875
2006-07-24,34320.086
2006-07-25,34205.004
2006-07-26,33872.965
2006-07-27,33681.285
2006-07-28,33994.527
2006-07-29,34643.527
2006-07-30,35194.258
2006-07-31,35672.29
2006-08-01,36137.69
2006-08-02,36026.355
2006-08-03,35151.04
2006-08-04,33777.133
2006-08-05,32292.674
2006-08-06,31015.219
2006-08-07,29791.549
2006-08-08,28460.525
2006-08-09,27123.902
2006-08-10,25885.967
2006-08-11,24847.152
2006-08-12,23984.068
2006-08-13,23196.5
2006-08-14,22549.115
2006-08-15,22060.018
2006-08-16,21649.887
2006-08-17,21217.594
2006-08-18,20747.809
2006-08-19,20292.365
2006-08-20,19855.617
2006-08-21,19357.31
2006-08-22,18733.21
2006-08-23,18093.23
2006-08-24,17562.41
2006-08-25,17184.469
2006-08-26,16936.91
2006-08-27,16837.24
2006-08-28,16997.28
2006-08-29,17494.059
2006-08-30,17969.133
2006-08-31,18179.004
2006-09-01,18513.004
2006-09-02,19122.857
2006-09-03,19707.46
