,dis24
1979-01-02,4242.6646
1979-01-03,4182.966
1979-01-04,4124.5444
1979-01-05,4068.246
1979-01-06,4014.1414
1979-01-07,3960.3958
1979-01-08,3905.2437
1979-01-09,3847.7808
1979-01-10,3788.272
1979-01-11,3727.8115
1979-01-12,3667.2368
1979-01-13,3608.657
1979-01-14,3554.2722
1979-01-15,3505.918
1979-01-16,3464.4058
1979-01-17,3428.1155
1979-01-18,3394.2952
1979-01-19,3360.5747
1979-01-20,3324.779
1979-01-21,3287.9822
1979-01-22,3251.308
1979-01-23,3217.9734
1979-01-24,3190.8184
1979-01-25,3174.112
1979-01-26,3172.2424
1979-01-27,3184.122
1979-01-28,3203.2224
1979-01-29,3221.4126
1979-01-30,3233.339
1979-01-31,3241.1467
1979-02-01,3244.457
1979-02-02,3243.936
1979-02-03,3244.5464
1979-02-04,3247.3638
1979-02-05,3251.9937
1979-02-06,3257.7627
1979-02-07,3264.7964
1979-02-08,3278.48
1979-02-09,3300.3696
1979-02-10,3331.9255
1979-02-11,3376.4568
1979-02-12,3434.568
1979-02-13,3501.6682
1979-02-14,3570.1077
1979-02-15,3631.6912
1979-02-16,3679.2288
1979-02-17,3708.835
1979-02-18,3723.9368
1979-02-19,3733.0938
1979-02-20,3745.6797
1979-02-21,3766.3623
1979-02-22,3790.879
1979-02-23,3812.6016
1979-02-24,3824.873
1979-02-25,3825.0605
1979-02-26,3816.6204
1979-02-27,3802.888
1979-02-28,3783.6047
1979-03-01,3755.8535
1979-03-02,3715.6406
1979-03-03,3663.9658
1979-03-04,3604.4878
1979-03-05,3539.4993
1979-03-06,3469.7395
1979-03-07,3395.406
1979-03-08,3319.9236
1979-03-09,3248.9124
1979-03-10,3190.117
1979-03-11,3153.275
1979-03-12,3150.9346
1979-03-13,3194.5505
1979-03-14,3290.6846
1979-03-15,3430.8237
1979-03-16,3588.835
1979-03-17,3724.4019
1979-03-18,3807.1677
1979-03-19,3833.6533
1979-03-20,3815.847
1979-03-21,3770.1235
1979-03-22,3712.4258
1979-03-23,3654.7498
1979-03-24,3611.3005
1979-03-25,3604.447
1979-03-26,3665.4614
1979-03-27,3828.3428
1979-03-28,4109.7017
1979-03-29,4483.501
1979-03-30,4872.5986
1979-03-31,5197.2173
1979-04-01,5426.9043
1979-04-02,5589.5874
1979-04-03,5736.459
1979-04-04,5909.206
1979-04-05,6120.167
1979-04-06,6360.508
1979-04-07,6629.3813
1979-04-08,6961.7144
1979-04-09,7425.0557
1979-04-10,8055.9414
1979-04-11,8762.363
1979-04-12,9338.326
1979-04-13,9660.268
1979-04-14,9791.887
1979-04-15,9835.872
1979-04-16,9820.533
1979-04-17,9787.637
1979-04-18,9885.992
1979-04-19,10309.47
1979-04-20,11020.107
1979-04-21,11638.164
1979-04-22,11872.228
1979-04-23,11757.07
